unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[19],"[(1557.5, -402.5)]","[0, 1, 2, 3]","[88.18094412201538, 97.19482212577725, 31.68346299584148, 494.9747468305833]","[549.6311241427309, 416.0089178936984, 1218.7220521783613, 658.8672199612995]","[1.0, 0.9908461536639868, 0.9760198590324153, 1.0]","[1726, 1726]","[0.00021725072728960522, 0.00021725072728960522]",[838]
[16],"[(1522.5, -1137.5)]","[0, 1, 2, 3]","[23.810244271932007, 61.87184335382291, 112.06970105831395, 157.7428683015495]","[1880.4028453252236, 1215.0060624607659, 580.2524150154819, 1691.6317646990776]","[1.0, 1.0, 0.9949552225209783, 0.9999999999999998]","[4653, 4653]","[0.0005856707034058708, 0.0005856707034058708]",[94]
[10],"[(1942.5, -1802.5)]",[0],[156.52475842498527],[1517.9588502888562],[1.0],"[14910, 14910]","[0.0018767139883476326, 0.0018767139883476326]",[1490]
[52],"[(1942.5, -1802.5)]","[0, 1, 2, 3]","[16.604512452794687, 74.23193802425861, 14.493033187498636, 82.49579113843055]","[2570.487473935126, 284.45658353240634, 413.6475443893185, 1588.5282134825866]","[0.9999999999999998, 1.0, 1.0, 1.0]","[3932, 3932]","[0.00049491880631676, 0.00049491880631676]",[513]
[62],"[(1312.5, -245.0)]","[0, 1, 2, 3, 4]","[37.98966278078698, 109.52566199084232, 82.40812761834114, 20.88296568035722, -86.41745444766768]","[2440.375893004952, 771.3573882967733, 510.4115188450495, 1882.1420514098531, 1459.425353507637]","[0.9319051688928108, 0.9222940397747272, 0.9642867955483105, 1.0, 0.9663564615508353]","[2461, 2461]","[0.000309764797137728, 0.000309764797137728]",[2235]
[124],"[(3045.0, -962.5)]","[0, 1, 2, 3]","[22.151898734177212, 35.29921979744211, 33.602637231345994, 74.48431427188943]","[466.0828839237189, 754.1189818818799, 141.24368670764582, 2422.136192163458]","[1.0, 0.9016515518690015, 0.9961706937133308, 0.9026078815479956]","[4665, 4665]","[0.0005871811371993096, 0.0005871811371993096]",[1152]
[136],"[(3447.5, -490.0)]","[0, 1, 2, 3, 4]","[17.5, 21.739549781247952, 33.56016206898096, 27.498597046143516, 26.051302464767538]","[792.4556438919585, 939.9988269426088, 920.3178055719934, 947.4708874297833, 1593.2213223744968]","[1.0, 1.0, 0.9999999999999996, 1.0, 0.9999999999999998]","[8345, 8345]","[0.001050380833853856, 0.001050380833853856]",[7706]
[226],"[(2117.5, -1452.5)]","[0, 1]","[74.53559924999298, 524.9999999999999]","[95.76237921249263, 2136.3965905245873]","[1.0, 0.9999999999999996]","[1000, 1000]","[0.00012586948278656154, 0.00012586948278656154]",[441]
[230],"[(2047.5, -1505.0)]","[0, 1]","[36.91853470198933, 105.161912201033]","[365.98311088798397, 907.8234343509217]","[1.0, 0.9999999999999996]","[3203, 3203]","[0.00040315995336535665, 0.00040315995336535665]",[1466]
[231],"[(3115.0, -1697.5)]","[0, 1, 2, 3]","[62.60620978026109, 48.91398700780789, 18.42105263157895, 106.06601717798215]","[1002.8040373722854, 1073.3032075205576, 1318.1632923243433, 968.1177072631369]","[0.8778534708320205, 0.9999999999999998, 1.0, 1.0]","[7587, 7587]","[0.0009549717659016424, 0.0009549717659016424]",[578]
[232],"[(1995.0, -1977.5)]","[0, 1]","[12.869734663475962, 115.89219943705949]","[282.8398590529466, 515.4817985398456]","[1.0, 1.0]","[9050, 9050]","[0.0011391188192183819, 0.0011391188192183819]",[2395]
[249],"[(2747.5, -717.5)]","[0, 1, 2, 3]","[23.333333333333332, 31.371455847090903, 65.21864934374386, 78.26237921249263]","[2188.1453942543926, 1180.3341623774386, 228.80307138573858, 1047.62325700192]","[1.0, 1.0, 1.0, 1.0]","[6851, 6851]","[0.0008623318265707331, 0.0008623318265707331]",[5159]
[252],"[(945.0, -1032.5)]","[0, 1]","[28.350006950710686, 44.99770425732575]","[1238.391976076593, 831.4588773546568]","[0.8341310090670762, 1.0]","[4662, 4662]","[0.0005868035287509499, 0.0005868035287509499]",[2288]
