unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[86],"[(2380.0, -472.5)]","[0, 1, 2, 3, 4]","[41.9065836520958, 58.16143375675167, 24.41860465116279, 96.20579793107875, 174.99999999999997]","[522.5927621581171, 2140.1045613432816, 2391.2884149704523, 563.402758114946, 554.3251577562288]","[0.99727330614211, 0.9999999999999996, 1.0, 1.0, 0.9999999999999998]","[6138, 6138]","[0.0007755765412735793, 0.0007755765412735793]",[4462]
[15],"[(3780.0, -1067.5)]","[0, 1]","[156.3382623828024, 116.66666666666667]","[268.1695981713574, 89.65434844830907]","[0.9594965422888437, 1.0]","[14931, 14931]","[0.0018866297389631497, 0.0018866297389631497]",[9797]
[89],"[(2765.0, -700.0)]","[0, 1, 2, 3]","[36.64662612862977, 26.92307692307692, 223.60679774997897, 699.9999999999999]","[667.5458240724209, 653.4708966475303, 1301.8866066614264, 207.35501153143184]","[1.0, 1.0, 1.0, 0.9999999999999998]","[5393, 5393]","[0.0006814409069873596, 0.0006814409069873596]",[3246]
[158],"[(1085.0, -1522.5)]",[0],[33.47990364755732],[144.29039550132194],[0.9705251093596342],"[1732, 1732]","[0.0002188495551459497, 0.0002188495551459497]",[622]
[170],"[(3762.5, -910.0)]","[0, 1, 2]","[28.295822920905515, 34.027121396735936, 19.79898987322333]","[3238.6432376339317, 957.3935688187389, 859.2389457712075]","[1.0, 1.0, 1.0]","[4665, 4665]","[0.000589453334154651, 0.000589453334154651]",[1030]
[103],"[(735.0, -892.5)]","[0, 1]","[277.2943064974835, 109.99438818457406]","[379.0117477273708, 186.17684401142478]","[0.9936183944847728, 1.0]","[14931, 14931]","[0.0018866297389631497, 0.0018866297389631497]",[3581]
[197],"[(2327.5, -472.5)]",[0],[26.051302464767538],[1068.2620451310102],[0.9999999999999998],"[1004, 1004]","[0.00012686198231324106, 0.00012686198231324106]",[948]
[189],"[(3430.0, -612.5)]","[0, 1]","[50.47771785649584, -174.99999999999997]","[923.1651222127387, 1111.494972566145]","[1.0, 0.9999999999999998]","[2463, 2463]","[0.00031121619764692504, 0.00031121619764692504]",[337]
[234],"[(2782.5, -717.5)]","[0, 1, 2, 3, 4, 5]","[28.680521509372642, 32.99831645537222, 31.548573660309906, 30.74436614052591, 315.485736603099, 123.74368670764582]","[143.69429464123962, 1203.6404080429663, 1127.5805901228082, 377.07344449282573, 1077.7953783233156, 732.796228686566]","[1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0]","[3934, 3934]","[0.0004970866916536756, 0.0004970866916536756]",[640]
[238],"[(2870.0, -910.0)]","[0, 1, 2, 3, 4]","[34.7731799750887, 20.58823529411765, 33.4596602376465, 25.925925925925924, 74.36070123989478]","[2742.8082639545, 277.6562030780739, 684.9194391209803, 700.9714732061981, 2919.9626502121187]","[1.0, 1.0, 0.8896615453922742, 0.9999999999999998, 1.0]","[1003, 1003]","[0.00012673562575715218, 0.00012673562575715218]",[724]
[236],"[(2240.0, -507.5)]","[0, 1, 2]","[10.311973892303818, 75.58641345169833, 116.66666666666667]","[2071.1072911412193, 297.69760619102436, 1792.8573605386757]","[1.0, 1.0, 1.0]","[4680, 4680]","[0.0005913486824959842, 0.0005913486824959842]",[1497]
[237],"[(2782.5, -717.5)]",[0],[43.75],[805.8135137510809],[1.0],"[7599, 7599]","[0.0009601834697194411, 0.0009601834697194411]",[5634]
[241],"[(2870.0, -910.0)]","[0, 1, 2, 3]","[13.334905795890755, 25.769410160110382, 91.1195795522443, 156.52475842498527]","[305.9017276602828, 608.9795062045379, 2860.502509695597, 1387.1407158045533]","[1.0, 1.0, 1.0, 1.0]","[1739, 1739]","[0.0002197340510385719, 0.0002197340510385719]",[724]
[258],"[(1925.0, -875.0)]",[0],[32.3575114464717],[1701.1943666577383],[1.0],"[993, 993]","[0.00012547206019626332, 0.00012547206019626332]",[986]
[257],"[(2327.5, -472.5)]",[0],[29.698484809834998],[2821.7462120245873],[1.0],"[1729, 1729]","[0.00021847048547768305, 0.00021847048547768305]",[947]
[245],"[(2887.5, -1207.5)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[7.0, 48.4573917235569, 17.17960677340692, 31.850480765602267, 49.108562715205615, 46.501894483390274, 37.47115384188503, 166.72379663948348, 81.94816010856854, 86.95819912499181, 26.92307692307692]","[1342.8250074073367, 1605.391661964346, 468.90679015472125, 2175.574889391181, 3113.2332300076423, 953.2156264863328, 515.9649810079632, 2891.172492187666, 752.9939419900087, 671.3149049928418, 440.40660907581]","[1.0, 0.9948703033211826, 1.0, 1.0, 0.9992447843781692, 0.9993266683627832, 1.0, 0.9627921202064766, 1.0, 1.0, 1.0]","[3934, 3934]","[0.0004970866916536756, 0.0004970866916536756]",[725]
[276],"[(2327.5, -472.5)]",[0],[48.23900478111719],[167.3109077121396],[0.9365934293638306],"[1000, 1000]","[0.00012635655608888552, 0.00012635655608888552]",[889]
[286],"[(2765.0, -595.0)]","[0, 1, 2, 3, 4]","[19.718309859154928, 26.98702731465263, 21.739549781247952, 481.02898965539373, 156.52475842498527]","[352.17902119044925, 1276.5680566827045, 669.374198294165, 579.6543484483091, 2053.5324654199803]","[1.0, 1.0, 1.0, 0.9999999999999998, 1.0]","[3195, 3195]","[0.00040370919670398923, 0.00040370919670398923]",[2199]
[295],"[(1102.5, -1820.0)]","[0, 1, 2]","[420.92985342478323, 50.56412289052762, 31.25]","[88.62866428930465, 212.15434844830907, 231.80869689661813]","[0.9963005056783064, 0.9962405210119263, 1.0]","[2473, 2473]","[0.0003124797632078139, 0.0003124797632078139]",[361]
[321],"[(3045.0, -805.0)]","[0, 1, 2, 3, 4, 5]","[19.24864662711187, 10.76923076923077, 53.74560378934636, 19.718309859154928, 35.0, 63.09714732061981]","[2402.845724310505, 400.41072781186926, 1487.911850008661, 1158.100408969687, 289.80384612481816, 456.36073576989384]","[1.0, 1.0, 0.9964855809232278, 1.0, 1.0, 1.0]","[2469, 2469]","[0.00031197433698345835, 0.00031197433698345835]",[2257]
[322],"[(3027.5, -997.5)]","[0, 1]","[64.5619234996413, 58.333333333333336]","[1131.3678937623145, 447.9430856687095]","[1.0, 1.0]","[4665, 4665]","[0.000589453334154651, 0.000589453334154651]",[672]
[327],"[(2590.0, -595.0)]","[0, 1, 2, 3, 4, 5, 6]","[60.0545432670389, 16.604512452794687, 16.78008103449048, 48.57216095871215, 65.4359134591255, 34.78327964999673, 26.087459737497543]","[838.1285401770016, 238.9699706902354, 723.427140755803, 1331.030208174029, 290.69291330909584, 2693.912394027166, 430.4430856687095]","[0.9488295687885012, 0.9999999999999998, 0.9999999999999996, 0.9219992125332069, 0.8574679325601561, 1.0, 0.9999999999999998]","[2466, 2466]","[0.0003115952673151917, 0.0003115952673151917]",[2208]
[325],"[(2362.5, -507.5)]","[0, 1, 2, 3, 4]","[36.63699485988248, 251.2575394669745, 125.94925259264691, 374.32033059236255, 181.79611650485433]","[158.58951059522462, 205.2394534808879, 145.86403109412004, 193.74368670764582, 129.74873734152916]","[0.9965721120609564, 0.9999812373854179, 0.9375828428243314, 0.9487958518510803, 0.8964140306921389]","[14931, 14931]","[0.0018866297389631497, 0.0018866297389631497]",[5280]
[334],"[(3377.5, -875.0)]","[0, 1]","[19.100996473312915, 23.715872488634133]","[468.91549907791887, 1180.2066836126742]","[0.7783218583062617, 1.0]","[8338, 8338]","[0.0010535609646691274, 0.0010535609646691274]",[7858]
[335],"[(3377.5, -875.0)]","[0, 1, 2, 3]","[11.509173413601857, 21.151994381754765, 87.5, 1399.9999999999998]","[111.28553805455539, 582.7590494515637, 560.3239630137203, 420.0]","[1.0, 1.0, 1.0, 0.9999999999999998]","[6135, 6135]","[0.0007751974716053127, 0.0007751974716053127]",[5655]
