unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[36],"[(2257.5, -1347.5)]",[0],[581.2234546241663],[337.5257289922924],[0.9938459409698646],"[998, 998]","[0.00012561774382098843, 0.00012561774382098843]",[405]
[48],"[(3062.5, -560.0)]","[0, 1]","[22.58769757263128, 35.35533905932738]","[506.9619355726845, 1669.7487373415292]","[1.0, 1.0]","[10509, 10509]","[0.0013167223836697106, 0.0013167223836697106]",[9862]
[45],"[(1942.5, -507.5)]",[0],[14.702220202888613],[1992.8720223377918],[1.0],"[8324, 8324]","[0.0010429533848764555, 0.0010429533848764555]",[930]
[3],"[(1137.5, -630.0)]","[0, 1, 2]","[791.5484097985989, 454.604989415154, 583.3333333333334]","[689.249659715093, 125.33985905294664, 213.69429464123962]","[0.9858203394269553, 0.984554485418453, 1.0]","[11981, 11981]","[0.0015011562354883244, 0.0015011562354883244]",[755]
[21],"[(1260.0, -472.5)]","[0, 1, 2, 3]","[766.4213562373096, 178.05958538626894, 412.9837810035159, 284.9709280750585]","[190.5111165540218, 190.6703224490974, 255.673925607149, 158.94834428021886]","[0.9851705072806174, 0.9525879097196686, 0.9929447262936926, 0.9870908938883693]","[11981, 11981]","[0.0015011562354883244, 0.0015011562354883244]",[10029]
[57],"[(227.5, -1505.0)]","[0, 1, 2]","[210.46492671239162, 427.2001872658766, 630.971473206198]","[119.21978600072211, 251.56172370284958, 165.32548424748595]","[0.9963005056783064, 1.0, 0.9999999999999998]","[11981, 11981]","[0.0015011562354883244, 0.0015011562354883244]",[1950]
[59],"[(2152.5, -1645.0)]",[0],[50.00000000000001],[1094.7099377558675],[1.0],"[10525, 10525]","[0.0013187270994503477, 0.0013187270994503477]",[8785]
[73],"[(1085.0, -262.5)]","[0, 1]","[215.19195925020713, 276.6992952647331]","[362.73863607376245, 195.33985905294662]","[0.8487049544751123, 1.0]","[11981, 11981]","[0.0015011562354883244, 0.0015011562354883244]",[10789]
[96],"[(3727.5, -1225.0)]",[0],[31.818181818181813],[2056.3849073127794],[1.0],"[3194, 3194]","[0.0004001913877096827, 0.0004001913877096827]",[2613]
[85],"[(2362.5, -1260.0)]","[0, 1, 2, 3, 4, 5]","[470.2983686507487, 37.97819266184777, 49.49747468305833, 43.161417879982025, 41.190725901311914, 594.8856099191582]","[925.4722296807486, 1094.8789771689205, 314.425281093349, 819.3370373222858, 2421.446240140075, 233.54153838449184]","[1.0, 0.9364520316440484, 1.0, 0.9679898703855785, 1.0, 1.0]","[6125, 6125]","[0.000767430259775143, 0.000767430259775143]",[1505]
[86],"[(1592.5, -472.5)]","[0, 1, 2, 3]","[462.36169522407357, 1261.942946412396, 366.36811657764656, 2548.0384612481807]","[397.2309025547439, 165.32548424748595, 222.92845544742244, 144.90192306240908]","[0.7945538487901922, 0.9999999999999998, 0.9969541924234023, 0.9999999999999998]","[10512, 10512]","[0.00131709826787858, 0.00131709826787858]",[2990]
[105],"[(2100.0, -1610.0)]","[0, 1]","[17.46969694696177, 147.37052863360483]","[1044.8259356949309, 597.2933102288373]","[1.0, 0.9649369378073409]","[1005, 1005]","[0.00012698833886932995, 0.00012698833886932995]",[883]
[106],"[(1610.0, -245.0)]",[0],[110.67971810589327],[2159.783075203005],[1.0],"[7591, 7591]","[0.0009511123431760179, 0.0009511123431760179]",[7414]
[108],"[(1190.0, -227.5)]","[0, 1, 2, 3]","[30.935921676911455, 169.86923074987874, -266.42135623730957, 454.18182202497985]","[661.7583526535744, 182.7417821153557, 1658.5137218041637, 525.0164134774722]","[1.0, 1.0, 0.9188543593342094, 0.9997367601829362]","[11247, 11247]","[0.0014091898990515972, 0.0014091898990515972]",[11068]
[124],"[(2537.5, -1067.5)]","[0, 1, 2, 3, 4]","[39.74352411133087, 46.55119254729617, 11.680952121267556, 37.115969012129305, 56.4516129032258]","[719.6491445138035, 1014.5581896968473, 597.4881542802799, 326.1798339421457, 2153.686100040362]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1741, 1741]","[0.0002181381358805753, 0.0002181381358805753]",[299]
[130],"[(2275.0, -1347.5)]",[0],[19.81132075471698],[1639.2202809569178],[1.0],"[2473, 2473]","[0.000309853882844723, 0.000309853882844723]",[581]
