unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[2],"[(3010.0, -1487.5)]","[0, 1]","[140.2158829347107, 58.333333333333336]","[1010.2012862620563, 1986.386106406361]","[1.0, 1.0]","[6848, 6848]","[0.0008580183541126822, 0.0008580183541126822]",[2748]
[17],"[(2712.5, -1995.0)]","[0, 1]","[636.2039998873248, 349.99999999999994]","[2255.4141625324937, 298.04634198292445]","[0.9746316304001905, 0.9999999999999998]","[11247, 11247]","[0.0014091898990515972, 0.0014091898990515972]",[1425]
[23],"[(612.5, -1575.0)]","[0, 1]","[317.72547887274067, 97.82797401561578]","[269.11938042866336, 94.47104865919295]","[0.9922970697236303, 0.9999999999999998]","[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[3746]
[0],"[(1207.5, -437.5)]",[0],[41.190725901311914],[151.18586376132117],[1.0],"[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[3827]
[4],"[(1225.0, -437.5)]","[0, 1]","[131.99326582148888, 35.05397073367767]","[201.0366075259094, 102.22833692686612]","[1.0, 1.0]","[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[9029]
[10],"[(822.5, -1785.0)]","[0, 1]","[184.10688679935944, 234.247518622844]","[251.74840246992292, 242.8484502900268]","[0.9773646502828858, 0.9730354952504009]","[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[11857]
[37],"[(385.0, -1505.0)]",[0],[53.69658474581939],[98.87992694777549],[0.8824521359048657],"[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[12879]
[66],"[(840.0, -350.0)]","[0, 1, 2]","[55.444811401471135, 56.08391013153223, 169.99579113843055]","[283.38599286791396, 247.69203098786465, 214.13118960624632]","[0.763722539210693, 0.9398834331301115, 0.9999999999999998]","[1000, 1000]","[0.00012529473628981926, 0.00012529473628981926]",[592]
[42],"[(857.5, -402.5)]","[0, 1, 2, 3]","[245.66976738560004, 348.9742233876179, 391.3118960624631, 276.6992952647331]","[249.31440800440026, 218.2147353668388, 184.71072349271148, 177.83985905294662]","[0.9681668899619874, 0.9459029062228062, 0.9999999999999998, 1.0]","[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[5056]
[83],"[(3185.0, -1820.0)]",[0],[494.9747468305833],[1824.78345922886],[1.0],"[4662, 4662]","[0.0005841240605831373, 0.0005841240605831373]",[1951]
[82],"[(3027.5, -1802.5)]",[0],[45.337256026592144],[89.65434844830907],[0.9920556285606601],"[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[2170]
[100],"[(962.5, -490.0)]","[0, 1, 2, 3]","[72.61842419389812, 32.60932467187193, 35.35533905932738, 46.03669365440743]","[621.8446088929248, 360.86477504612543, 263.5376539864469, 727.6515152472742]","[0.9621569539301474, 1.0, 1.0, 1.0]","[4654, 4654]","[0.0005831217026928188, 0.0005831217026928188]",[2410]
[85],"[(3027.5, -1802.5)]",[0],[48.636330711096385],[88.62866428930465],[0.8797827677628699],"[14174, 14174]","[0.0017759275921718982, 0.0017759275921718982]",[2903]
[92],"[(192.5, -385.0)]","[0, 1, 2]","[423.1147163406425, 359.324749307249, 430.85572403254787]","[240.5259221794092, 271.69698031534296, 188.94209731838592]","[0.9516968096278394, 0.9151162818709222, 0.9992985322878946]","[12706, 12706]","[0.0015919949192984434, 0.0015919949192984434]",[10133]
[143],"[(1120.0, -1120.0)]","[0, 1, 2, 3]","[82.38145180262383, 37.474655117821854, 66.50436049251459, 100.00000000000001]","[254.1352025821082, 633.8776981205976, 433.6598211025883, 976.7536832951597]","[1.0, 0.940729977551053, 0.9999404770531912, 1.0]","[6848, 6848]","[0.0008580183541126822, 0.0008580183541126822]",[998]
[149],"[(1522.5, -1225.0)]","[0, 1, 2, 3]","[8.415309592741144, 79.40898672947095, 494.9747468305833, 233.33333333333334]","[812.3064608093546, 348.7342061645307, 234.4234048135391, 141.44834428021886]","[1.0, 0.9503553734252718, 1.0, 1.0]","[3917, 3917]","[0.000490779482047222, 0.000490779482047222]",[983]
[159],"[(1260.0, -2012.5)]","[0, 1, 2, 3, 4, 5]","[30.69925856925519, 130.43729868748773, 73.78647873726219, 35.96825508641222, 25.739469326951923, 52.174919474995086]","[152.15066040393822, 204.45667385373224, 144.57270054082036, 161.4281066698956, 1614.7067177491292, 149.8109077121396]","[0.9999999999999996, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998]","[2469, 2469]","[0.00030935270389956373, 0.00030935270389956373]",[697]
