unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density
[0],"[(1732.5, -1522.5)]","[0, 1]","[51.38216436526896, 256.12048025175244]","[292.4965450660872, 125.33985905294664]","[0.8102038209589143, 0.9028205605562152]",[13075],[0.0017586866679444888]
[25],"[(1522.5, -1802.5)]",[0],[115.67057200374252],[484.7747092648042],[0.8229108719555546],[4771],[0.000641735685870987]
[16],"[(2257.5, -1172.5)]",[0],[182.95425409665938],[190.85700121617077],[0.9146434430687528],[13075],[0.0017586866679444888]
[30],"[(2642.5, -1417.5)]",[0],[309.35921676911454],[201.03660752590943],[1.0],[13075],[0.0017586866679444888]
[42],"[(1627.5, -1732.5)]",[0],[352.82993274253096],[275.42845544742244],[0.8110790373194628],[13075],[0.0017586866679444888]
[44],"[(1697.5, -262.5)]","[0, 1]","[380.85306980281183, 373.40002144276906]","[245.85097560696846, 176.44834428021886]","[0.9588767266669272, 0.9953906706811687]",[13075],[0.0017586866679444888]
[37],"[(1330.0, -770.0)]","[0, 1, 2]","[184.98515184065997, 265.43245137531113, 195.9097140947006]","[1395.9364030597746, 407.58202113394253, 482.50173365656997]","[0.8575809076263036, 0.9632326632222593, 0.9057043646564757]",[4775],[0.0006422737162091728]
[54],"[(1820.0, -1085.0)]",[0],[33.484653604045974],[212.5770085695235],[0.9338888478251615],[13075],[0.0017586866679444888]
[46],"[(1680.0, -245.0)]","[0, 1]","[381.68755567524346, 390.6199250110843]","[473.53644458343797, 307.2632638664857]","[0.9076680274205325, 0.9580183668680042]",[13075],[0.0017586866679444888]
[52],"[(1767.5, -1102.5)]","[0, 1]","[426.98287388664716, 744.4163853673149]","[248.73785880791215, 189.49747468305833]","[0.9633312378876148, 0.8321157418234298]",[13075],[0.0017586866679444888]
[85],"[(2082.5, -1837.5)]",[0],[254.550944192978],[566.1616889439765],[0.945388479491855],[4024],[0.0005412585202148086]
[86],"[(1662.5, -822.5)]","[0, 1]","[459.74373743425906, 103.91137642600322]","[728.4511407388331, 462.69761568236254]","[0.9662119274961948, 0.9671719957447399]",[989],[0.00013368331146674012]
[107],"[(1942.5, -1977.5)]",[0],[561.6613265464641],[610.1093989913767],[0.8866282504497559],[2501],[0.00033640346895060544]
[38],"[(1295.0, -350.0)]","[0, 1]","[483.3826823977338, 259.2017751733127]","[386.97963989627306, 254.55024939687289]","[0.9710362827614578, 0.9578046393750719]",[13075],[0.0017586866679444888]
[68],"[(1487.5, -280.0)]",[0],[108.61972435274967],[536.8595980384625],[0.9801502574911891],[4020],[0.000540720489876623]
[104],"[(1732.5, -1855.0)]",[0],[168.69102544971034],[962.7201130469674],[0.9481591511372117],[1755],[0.00023606081087897344]
[92],"[(1767.5, -1522.5)]","[0, 1]","[515.3699080008995, 469.7132405709513]","[158.94834428021886, 164.74873734152916]","[0.9899139131916417, 0.8604677553200045]",[13075],[0.0017586866679444888]
[93],"[(2012.5, -1330.0)]",[0],[640.5582400436994],[291.53174842347016],[0.9666319108054617],[13075],[0.0017586866679444888]
[114],"[(2222.5, -1190.0)]","[0, 1]","[123.87920524537122, 43.26239272643227]","[209.83733373600495, 130.87740163083382]","[0.9923281110686419, 0.9012189502927302]",[13075],[0.0017586866679444888]
[112],"[(2345.0, -892.5)]",[0],[444.51729864397026],[418.7848673673785],[0.807570852981294],[13075],[0.0017586866679444888]
[119],"[(1487.5, -280.0)]",[0],[235.3705033717728],[635.1936690656424],[0.9985549595501941],[13075],[0.0017586866679444888]
[97],"[(2047.5, -1907.5)]",[0],[190.8447603823503],[270.4766424703943],[0.9969923927675275],[13075],[0.0017586866679444888]
[160],"[(2012.5, -1820.0)]",[0],[130.4490706254523],[683.6081342313939],[0.9464391298612279],[4771],[0.000641735685870987]
[148],"[(2065.0, -980.0)]","[0, 1]","[232.11751558608583, 164.6354351995064]","[1194.6396497187088, 1173.2639083104525]","[0.8188622493305512, 0.8814322165248305]",[1762],[0.0002370023639707984]
[143],"[(1645.0, -1225.0)]",[0],[181.65771858754835],[665.4790197550277],[0.9574537359092609],[13075],[0.0017586866679444888]
[133],"[(1645.0, -1225.0)]","[0, 1]","[613.7552478115975, 212.7166530750159]","[628.3920132162036, 1085.6020297231196]","[0.9593389622222412, 0.9751054958208324]",[13075],[0.0017586866679444888]
[199],"[(2117.5, -735.0)]",[0],[158.48682699163248],[689.5153413414098],[0.9888099819355797],[4774],[0.0006421392086246263]
