unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density
[39],"[(1645.0, -752.5)]",[0],[329.46808439792267],[245.96599802530963],[0.8820746254610156],[12419],[0.001852020311230082]
[44],"[(2030.0, -1260.0)]",[0],[294.7465912630101],[168.99494936611666],[0.9624336073057522],[12419],[0.001852020311230082]
[38],"[(1435.0, -1242.5)]",[0],[141.99707996842386],[816.0047203420967],[0.9669367027582296],[12419],[0.001852020311230082]
[41],"[(542.5, -1190.0)]",[0],[648.5029302885187],[430.25241864671364],[0.9825201925924031],[12419],[0.001852020311230082]
[51],"[(2030.0, -1592.5)]","[0, 1]","[275.1350838935548, 383.9656621168019]","[137.34335934520732, 151.10223826543927]","[0.8897355591281542, 0.9333581121844327]",[12419],[0.001852020311230082]
[53],"[(1382.5, -1435.0)]","[0, 1]","[145.64224934583748, 52.77893997700368]","[937.1446735088739, 394.7610177975206]","[0.8619293053093636, 0.9704863827367043]",[12419],[0.001852020311230082]
[74],"[(1767.5, -1592.5)]",[0],[303.5568068569727],[691.8338471335503],[0.9353900143561661],[4140],[0.0006173898130680844]
[59],"[(595.0, -402.5)]","[0, 1]","[399.46875511838397, 271.3485899754842]","[363.16430227490173, 201.20389014706666]","[0.9947438662820643, 0.9977835782133113]",[12419],[0.001852020311230082]
[58],"[(2170.0, -2030.0)]",[0],[417.5611084291439],[206.83480841906328],[0.8825878974709325],[12419],[0.001852020311230082]
[85],"[(1225.0, -1627.5)]",[0],[598.6519825748167],[294.7283369268661],[0.8978385492117184],[12419],[0.001852020311230082]
[95],"[(1470.0, -822.5)]",[0],[96.47819087219756],[376.80048579244374],[0.9906254792734989],[12419],[0.001852020311230082]
[114],"[(822.5, -1120.0)]",[0],[510.81239810174196],[923.1035708500217],[0.9525720327363975],[4776],[0.0007122352046408626]
[110],"[(1575.0, -52.5)]","[0, 1]","[68.86331652337316, 796.9516411422405]","[374.5306993923491, 399.8809422340306]","[0.9116222235287177, 0.8687882921896849]",[4870],[0.0007262532342129398]
[107],"[(1855.0, -1697.5)]",[0],[438.4648776435901],[371.62490694462224],[0.980249317626617],[12419],[0.001852020311230082]
[119],"[(1820.0, -1697.5)]",[0],[75.56922646626566],[178.1857437150956],[0.9179212876912212],[12419],[0.001852020311230082]
[100],"[(1645.0, -700.0)]","[0, 1]","[801.957228141633, 370.98351082058923]","[381.0017423720547, 124.65434844830907]","[0.9588504344496348, 0.956654217257335]",[12419],[0.001852020311230082]
[139],"[(857.5, -1085.0)]",[0],[195.40495280022694],[892.164690230998],[0.9893578955129031],[4877],[0.0007272971300321371]
[120],"[(630.0, -105.0)]",[0],[274.2980430910318],[353.92810666989556],[0.8395016413110962],[12419],[0.001852020311230082]
[116],"[(1417.5, -472.5)]","[0, 1]","[248.80363356182005, 253.37929623423042]","[109.13118960624632, 486.1756558223335]","[0.9346513641354175, 0.8210480535936626]",[12419],[0.001852020311230082]
