unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[71],"[(2467.5, -1540.0)]","[0, 1, 2]","[28.378378378378375, 77.3193659082223, 173.68871301654198]","[179.90192306240908, 663.1593273260811, 2266.418526705461]","[1.0, 0.9913396029203873, 0.7834794304880952]","[996, 996]","[0.00012479355734465998, 0.00012479355734465998]",[771]
[35],"[(3500.0, -52.5)]","[0, 1]","[134.52948127559475, 100.00000000000001]","[1785.2798586696977, 247.8966885604377]","[0.9734539893046872, 1.0]","[3947, 3947]","[0.0004945383241359166, 0.0004945383241359166]",[3469]
[254],"[(1645.0, -665.0)]","[0, 1, 2, 3, 4, 5]","[18.026836664216916, 35.422182477602774, 40.19981450834308, 43.403811021918926, 32.06859931035959, 82.49579113843055]","[163.47905351246123, 1497.2195452404164, 1782.8890309450148, 2310.5348269710203, 1664.654348448309, 1043.5133077894811]","[1.0, 0.9284042372289697, 1.0, 1.0, 1.0, 1.0]","[2484, 2484]","[0.000311232124943911, 0.000311232124943911]",[2211]
[260],"[(1942.5, -717.5)]","[0, 1]","[28.98606637499727, 32.3575114464717]","[428.6996061162564, 2898.151159151788]","[1.0, 1.0]","[2479, 2479]","[0.0003106056512624619, 0.0003106056512624619]",[389]
[251],"[(1785.0, -805.0)]",[0],[327.3168407802239],[392.0540828379188],[0.9889677591781366],"[14975, 14975]","[0.0018762886759400433, 0.0018762886759400433]",[8163]
[266],"[(2975.0, -2065.0)]","[0, 1, 2, 3, 4]","[47.16428500584138, 12.721806678838309, 19.32404424999818, 31.729150437857907, 20.042874568974742]","[904.2033666900865, 591.0228343284355, 2055.7623792124928, 2936.02145570558, 3659.3128687816384]","[0.995767572569253, 1.0, 1.0, 1.0, 1.0]","[2474, 2474]","[0.0003099791775810128, 0.0003099791775810128]",[724]
[269],"[(1890.0, -1785.0)]","[0, 1, 2, 3, 4]","[35.96825508641222, 24.743979341419532, 66.66666666666667, 142.55249834874226, 349.99999999999994]","[585.2395659575368, 856.0229004652632, 1109.7415544259063, 1009.0419500951298, 2187.7845340395775]","[1.0, 1.0, 1.0, 0.9957546786472371, 0.9999999999999998]","[3952, 3952]","[0.0004951647978173656, 0.0004951647978173656]",[193]
[270],"[(3797.5, -105.0)]",[0],[260.5359880072073],[302.8748763138922],[0.9948587708373763],"[14975, 14975]","[0.0018762886759400433, 0.0018762886759400433]",[4919]
[276],"[(35.0, -1680.0)]","[0, 1, 2]","[10.033638360575978, 46.40388251536717, 60.092521257733154]","[3732.12878641023, 600.7025255017838, 1393.5575939329947]","[1.0, 0.9999999999999998, 1.0]","[6884, 6884]","[0.0008625289646191157, 0.0008625289646191157]",[3352]
[278],"[(665.0, -262.5)]","[0, 1, 2, 3]","[13.025651232383769, 60.286123060783744, 19.41077438551307, 19.44444444444444]","[1488.333810059671, 1364.1138606935763, 1601.482091230529, 2527.199079126706]","[0.9999999999999998, 0.9131151625140116, 1.0, 0.9999999999999998]","[6155, 6155]","[0.0007711891018638375, 0.0007711891018638375]",[654]
[280],"[(2345.0, -192.5)]","[0, 1]","[26.98702731465263, 48.12161656777969]","[1012.2319038182953, 799.4500659443721]","[1.0, 1.0]","[6880, 6880]","[0.0008620277856739565, 0.0008620277856739565]",[6021]
[273],"[(2922.5, -367.5)]",[0],[402.15254054491203],[2586.984865322687],[0.9805548951570812],"[14975, 14975]","[0.0018762886759400433, 0.0018762886759400433]",[661]
