unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[50],"[(1890.0, -1960.0)]","[0, 1, 2]","[37.749303452473036, 10.937499999999998, 22.930709698829833]","[1309.9492628390376, 812.1261158911082, 2106.5366070184823]","[0.9788158070082023, 0.9999999999999998, 1.0]","[7621, 7621]","[0.0010005588017845553, 0.0010005588017845553]",[3097]
[97],"[(1960.0, -1592.5)]",[0],[23.104056526819555],[129.55467415507485],[1.0],"[1001, 1001]","[0.00013142098944841094, 0.00013142098944841094]",[972]
[118],"[(1137.5, -122.5)]","[0, 1, 2, 3]","[34.027121396735936, 92.97687081099669, 77.27908562418955, 721.5434844830905]","[414.88160029174117, 1595.0126434871495, 1744.814990306836, 723.427140755803]","[1.0, 0.9862649264943203, 1.0, 0.9999999999999998]","[1737, 1737]","[0.0002291466036964236, 0.0002291466036964236]",[631]
[133],"[(945.0, -542.5)]","[0, 1, 2]","[66.65998143123478, 39.0023505125995, 48.91398700780789]","[724.5668139037598, 634.609902247896, 2532.883022000294]","[0.9987365445612807, 1.0, 0.9999999999999998]","[2474, 2474]","[0.0003248107171781905, 0.0003248107171781905]",[1478]
[140],"[(1522.5, -577.5)]",[0],[127.89692891586071],[287.412559593767],[0.8901210689952991],"[14941, 14941]","[0.001961599403944763, 0.001961599403944763]",[10121]
[294],"[(472.5, -437.5)]",[0],[782.6237921249262],[1663.9207598228938],[0.9999999999999998],"[1003, 1003]","[0.00013168356884790826, 0.00013168356884790826]",[292]
[300],"[(3675.0, -35.0)]","[0, 1]","[55.275533232693746, 68.78954231842044]","[2220.5792998084316, 2662.0282659696804]","[0.9957151443277205, 0.8217663047978256]","[3933, 3933]","[0.0005163623891114887, 0.0005163623891114887]",[3524]
[295],"[(1172.5, -70.0)]","[0, 1, 2, 3]","[13.35715847875358, 391.3118960624631, 65.99663291074444, 80.17149827589895]","[2184.4171731076517, 297.5155931603308, 242.7912924838354, 592.4667546044568]","[0.8664239771022038, 0.9999999999999998, 1.0, 1.0]","[5398, 5398]","[0.000708701799243279, 0.000708701799243279]",[655]
[304],"[(1312.5, -210.0)]","[0, 1, 2]","[15.971914124998497, 19.09090909090909, -29.166666666666668]","[2022.2595499923268, 921.8819643861955, 247.67656266440335]","[1.0, 1.0, 1.0]","[8338, 8338]","[0.0010946935165043461, 0.0010946935165043461]",[651]
[309],"[(1400.0, -332.5)]","[0, 1, 2]","[29.166666666666668, 30.434782608695656, 155.55555555555554]","[116.49494936611666, 1672.2557069682182, 577.5]","[1.0, 1.0, 0.9999999999999998]","[6861, 6861]","[0.0009007786299755719, 0.0009007786299755719]",[651]
[315],"[(822.5, -175.0)]","[0, 1, 2]","[80.17149827589895, 7.526881720430108, 26.29047805025825]","[178.60269272852793, 3083.2669256480804, 462.15854610531807]","[1.0, 1.0, 0.9999999999999996]","[2477, 2477]","[0.0003252045862774365, 0.0003252045862774365]",[635]
