unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[11],"[(1295.0, -490.0)]","[0, 1, 2, 3]","[15.517064182432058, 30.158203784167924, 40.27727233506483, 65.12825616191886]","[1239.5499540593632, 489.3590720920881, 1412.2827436632158, 296.09869823907763]","[1.0, 0.9857903802146574, 0.9698843498691118, 0.9999999999999998]","[2461, 2461]","[0.0003111922846821415, 0.0003111922846821415]",[653]
[7],"[(2467.5, -297.5)]","[0, 1, 2, 3]","[575.8533163196629, 257.71165802699454, 892.328414878737, 525.0]","[372.5973853410246, 268.77349576651443, 311.9714775616362, 384.53915431767985]","[0.895913594511396, 0.9110737023709434, 0.9999999999999996, 0.9642857142857143]","[14927, 14927]","[0.001887512081857101, 0.001887512081857101]",[7314]
[38],"[(1032.5, -157.5)]","[0, 1, 2]","[26.92307692307692, 45.06939094329987, 25.000000000000004]","[549.7417214010942, 917.7352286158543, 1342.0777629116383]","[1.0, 1.0, 1.0]","[7614, 7614]","[0.0009627866946646993, 0.0009627866946646993]",[564]
[52],"[(2502.5, -1172.5)]","[0, 1]","[96.24323313555938, 229.44417207498114]","[173.7768654265131, 150.9430319827688]","[1.0, 1.0]","[11266, 11266]","[0.001424580365391713, 0.001424580365391713]",[10139]
[40],"[(2502.5, -1172.5)]","[0, 1]","[333.85314004220635, 524.3416490252569]","[324.6835732105102, 217.412559593767]","[0.8133566185410305, 0.9959221128886853]","[14927, 14927]","[0.001887512081857101, 0.001887512081857101]",[9404]
[58],"[(2625.0, -1085.0)]","[0, 1, 2]","[131.02274854272582, 304.13812651491105, 417.9675487575563]","[1466.619263327123, 123.94834428021885, 151.53913284285107]","[0.9991791207838314, 1.0, 0.9991590928512494]","[11251, 11251]","[0.0014226836224944224, 0.0014226836224944224]",[7450]
[55],"[(2502.5, -1172.5)]","[0, 1]","[372.0842140106685, 306.24999999999994]","[270.992424049175, 246.24368670764582]","[0.9817864718313559, 0.9999999999999998]","[10543, 10543]","[0.0013331573577423069, 0.0013331573577423069]",[7226]
[69],"[(3255.0, -1260.0)]","[0, 1]","[17.391639824998364, 31.622776601683793]","[1684.1311896062464, 463.8814726004529]","[1.0, 1.0]","[6148, 6148]","[0.0007774116888361665, 0.0007774116888361665]",[1082]
[71],"[(2677.5, -2082.5)]",[0],[18.200553305230844],[148.26237921249265],[1.0],"[7602, 7602]","[0.0009612693003468669, 0.0009612693003468669]",[3947]
[70],"[(2695.0, -1435.0)]","[0, 1, 2, 3, 4, 5]","[355.5703375079318, 285.2396846142344, 196.0029585575524, 536.2982593202693, 505.5839394068098, 551.5822244613641]","[453.88987146844727, 186.30088617966234, 283.9266814873943, 230.7438590435337, 464.58193464439955, 402.9276510277067]","[0.9633892363884975, 0.9796610169491526, 1.0, 0.9983060700443654, 0.9182844956111614, 0.9821440309313133]","[14927, 14927]","[0.001887512081857101, 0.001887512081857101]",[291]
[103],"[(1312.5, -297.5)]","[0, 1]","[66.11309814472021, 174.99999999999997]","[1424.9893724936733, 880.81321815162]","[0.8238390472663256, 0.9999999999999998]","[7593, 7593]","[0.0009601312546084925, 0.0009601312546084925]",[1540]
[112],"[(3097.5, -2065.0)]","[0, 1]","[1106.7971810589324, 374.12006534221126]","[142.83985905294662, 227.05964505366876]","[1.0, 0.9029949322150593]","[14927, 14927]","[0.001887512081857101, 0.001887512081857101]",[5789]
[113],"[(3097.5, -2065.0)]","[0, 1]","[199.74873734152916, 210.56276295644304]","[136.99747468305833, 130.76237921249265]","[0.955974376609423, 0.8521505333941889]","[14927, 14927]","[0.001887512081857101, 0.001887512081857101]",[7254]
[122],"[(280.0, -455.0)]","[0, 1, 2, 3]","[164.3045945477464, 156.52475842498527, 742.4621202458748, 510.35255319955144]","[122.33733373600496, 156.52475842498527, 305.992424049175, 274.80550830072946]","[0.949205088347944, 1.0, 0.9999999999999998, 0.9509770065155188]","[14927, 14927]","[0.001887512081857101, 0.001887512081857101]",[9330]
[147],"[(2835.0, -892.5)]","[0, 1]","[28.284271247461902, 709.6556285347923]","[521.9974746830583, 123.94834428021885]","[1.0, 1.0]","[1005, 1005]","[0.00012708177411846898, 0.00012708177411846898]",[422]
[141],"[(507.5, -875.0)]","[0, 1, 2]","[30.0, 78.26237921249263, 18.42105263157895]","[863.1864375330329, 456.84526313621154, 3144.3244674109865]","[1.0, 1.0, 1.0]","[6880, 6880]","[0.0008699727422239469, 0.0008699727422239469]",[1242]
[149],"[(455.0, -52.5)]","[0, 1, 2]","[57.946099718529744, 36.395201972837, 73.41265122773714]","[439.4010038319967, 929.5041970331395, 2937.827204482435]","[1.0, 1.0, 1.0]","[3947, 3947]","[0.0004990962810403951, 0.0004990962810403951]",[2763]
[144],"[(2695.0, -1452.5)]","[0, 1, 2, 3]","[112.85441407722514, 11.926338586497366, 40.38461538461538, 360.77174224154527]","[805.3992806143262, 702.1543484483091, 291.0275517228564, 426.5023412463493]","[0.9312847207787659, 0.9999999999999998, 1.0, 0.9999999999999998]","[3207, 3207]","[0.0004055236314407264, 0.0004055236314407264]",[2693]
[158],"[(2642.5, -1522.5)]","[0, 1, 2, 3, 4, 5]","[56.75635723193884, 26.516504294495537, 236.84667393254347, 741.3118960624631, 42.56912234842049, 66.6706661766268]","[2707.9901360469676, 1179.5204992492565, 258.4830794139636, 269.78713763747794, 1394.9760036832713, 136.803411496604]","[0.8825428744558219, 1.0, 0.994360902255639, 0.9989658638729041, 1.0, 0.9284789485494301]","[3192, 3192]","[0.0004036268885434358, 0.0004036268885434358]",[832]
[154],"[(1295.0, -245.0)]",[0],[26.051302464767538],[1223.0835194454287],[0.9999999999999998],"[10521, 10521]","[0.0013303754681596141, 0.0013303754681596141]",[3426]
[135],"[(280.0, -455.0)]","[0, 1, 2]","[292.1953044407306, 275.3048344177503, 326.61391167735087]","[230.78301273761372, 180.25985389555098, 311.2530953518514]","[0.8736884001765916, 0.8725013956726758, 0.9818399463967655]","[14927, 14927]","[0.001887512081857101, 0.001887512081857101]",[7127]
[163],"[(595.0, -805.0)]","[0, 1]","[456.0001560548971, 130.61663010294086]","[219.5200655430568, 266.79039550132194]","[0.9935574579713076, 0.9830493611313517]","[3202, 3202]","[0.0004048913838082962, 0.0004048913838082962]",[220]
[171],"[(3465.0, -1575.0)]","[0, 1]","[60.3448275862069, 31.818181818181813]","[105.0, 1152.3044985811432]","[1.0, 1.0]","[2470, 2470]","[0.0003123303304205158, 0.0003123303304205158]",[226]
[173],"[(2537.5, -1592.5)]","[0, 1]","[7.672782275734571, 41.42251700234907]","[1089.2770128136713, 528.2256247732918]","[1.0, 0.8026222163664993]","[6861, 6861]","[0.0008675702012207121, 0.0008675702012207121]",[5939]
[189],"[(630.0, -1032.5)]","[0, 1, 2, 3]","[15.652475842498527, 44.27188724235731, 35.0, 29.166666666666668]","[1026.7577637728186, 2618.955469865145, 395.2730800361508, 416.94492736796644]","[1.0, 1.0, 1.0, 1.0]","[8333, 8333]","[0.0010537039042081613, 0.0010537039042081613]",[330]
