unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[8],"[(1015.0, -1750.0)]","[0, 1, 2]","[11.666666666666666, 86.95819912499181, 82.49579113843055]","[684.3891360347816, 695.0894580959422, 921.1861305821279]","[1.0, 1.0, 1.0]","[6123, 6123]","[0.00077783494350121, 0.00077783494350121]",[1364]
[0],"[(560.0, -1382.5)]",[0],[73.47606494178986],[113.26237921249263],[1.0],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[479]
[3],"[(315.0, -770.0)]",[0],[259.54361333160045],[152.39356881873897],[0.9570503895927132],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[1821]
[23],"[(2380.0, -122.5)]","[0, 1, 2, 3]","[46.62941347220189, 23.333333333333332, 55.339859052946636, 61.871843353822904]","[302.6632188709375, 841.7876974919981, 1081.4171954909998, 621.24369830766]","[0.990441474753328, 1.0, 1.0, 1.0]","[3944, 3944]","[0.0005010258071482561, 0.0005010258071482561]",[627]
[10],"[(2117.5, -822.5)]",[0],[276.7292437470552],[1139.1334279882],[0.9766248477562749],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[683]
[15],"[(2747.5, -927.5)]","[0, 1]","[92.81116651119456, 195.3379108797723]","[123.94834428021885, 141.7328414878737]","[1.0, 0.9948457551234011]","[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[13658]
[29],"[(717.5, -1190.0)]",[0],[224.33679274187114],[256.44812292758826],[0.9872740224786893],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[94]
[31],"[(3605.0, -1015.0)]","[0, 1]","[16.09195402298851, 126.19429464123962]","[1522.0782520236298, 204.18665791584442]","[1.0, 1.0]","[6149, 6149]","[0.0007811378519661833, 0.0007811378519661833]",[79]
[38],"[(1522.5, -1540.0)]","[0, 1, 2, 3, 4, 5]","[16.97749375254331, 37.482778414706004, 13.199326582148888, 32.081077711853126, 99.65447128520736, 63.09714732061981]","[345.51308710504196, 578.9996790897159, 1200.912365154777, 2204.9113791214554, 1913.4494085609167, 580.1621819149153]","[1.0, 1.0, 1.0, 1.0, 0.9435469165663992, 1.0]","[3206, 3206]","[0.00040727402071939886, 0.00040727402071939886]",[2320]
[41],"[(2117.5, -840.0)]","[0, 1, 2, 3]","[56.45161290322581, 43.51527401422056, 142.29523493180477, 349.99999999999994]","[613.9563134771963, 1138.7423025646715, 1477.0587367999722, 168.04069217324596]","[1.0, 1.0, 1.0, 0.9999999999999998]","[1733, 1733]","[0.0002201515526845659, 0.0002201515526845659]",[672]
[46],"[(455.0, -1347.5)]","[0, 1, 2, 3, 4, 5]","[31.080051161278167, 11.249426064331438, 11.180339887498947, 35.0, 29.532973287733068, 65.62499999999999]","[599.5226206798159, 1128.9794106134377, 183.43988650286445, 1292.3851439350788, 486.80399275999895, 427.0163547830722]","[0.9499422963877662, 1.0, 1.0, 1.0, 1.0, 0.9999999999999996]","[5413, 5413]","[0.0006876401354192471, 0.0006876401354192471]",[4234]
[47],"[(1312.5, -157.5)]",[0],[313.46592567252543],[264.2328414878737],[0.9763497395848417],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[2961]
[70],"[(1575.0, -1732.5)]","[0, 1]","[369.6283928134019, 353.24870503271995]","[398.08533814303695, 317.3015120553437]","[0.9862732053688978, 0.9892776206127118]","[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[7516]
[84],"[(2765.0, -1365.0)]",[0],[354.50849718747367],[120.51111655402181],[0.9283141546004152],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[5674]
[86],"[(1697.5, -700.0)]","[0, 1, 2]","[16.93548387096774, 33.209024905589374, 37.123106012293746]","[872.7629151680576, 252.38858928247924, 218.55490892120562]","[1.0, 0.9999999999999998, 1.0]","[5427, 5427]","[0.0006894186245926942, 0.0006894186245926942]",[955]
[97],"[(2502.5, -315.0)]",[0],[42.30398876350953],[673.5196765218159],[1.0],"[3925, 3925]","[0.0004986121432700064, 0.0004986121432700064]",[1482]
[93],"[(630.0, -52.5)]",[0],[301.05244383435127],[323.5428666331647],[0.9885386932067919],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[10914]
[100],"[(1435.0, -245.0)]",[0],[24.145109601491864],[317.1959991466795],[1.0],"[3939, 3939]","[0.0005003906324434536, 0.0005003906324434536]",[2947]
[99],"[(1050.0, -1907.5)]",[0],[560.0],[164.74873734152916],[1.0],"[14943, 14943]","[0.0018982831227729187, 0.0018982831227729187]",[556]
