unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[39],"[(2082.5, -1802.5)]","[0, 1]","[35.8974358974359, 524.9999999999999]","[87.5, 1020.6089488230107]","[1.0, 0.7500000000000001]","[1005, 1005]","[0.00012649883020049435, 0.00012649883020049435]",[880]
[9],"[(1242.5, -665.0)]",[0],[51.30527658008169],[176.08951059522462],[1.0],"[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[7167]
[28],"[(3640.0, -1190.0)]","[0, 1, 2, 3, 4]","[155.20688390910212, 106.64707142427282, 201.0366075259094, 106.46108265455767, 428.49352981915604]","[310.0767872168929, 138.12613897236298, 311.7163256318027, 124.23284148787373, 416.97332962877687]","[0.9580065786869336, 0.8915582328037274, 0.9999234479022623, 0.9886624082865487, 0.9988736988161562]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[1]
[6],"[(700.0, -1487.5)]","[0, 1, 2, 3, 4]","[478.925868506563, 484.83147754619057, 257.90666488283244, 396.30890419274573, 335.9448949740174]","[383.56764990693694, 349.5120012080149, 125.33985905294664, 284.30869689661813, 303.8885181848556]","[0.9715587533210546, 0.9676124590068679, 0.9649986792567854, 0.8557677336942805, 0.9705845861745315]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[2751]
[60],"[(2240.0, -35.0)]","[0, 1]","[50.47771785649584, 87.49999999999999]","[2253.3953576107165, 119.54165815979276]","[1.0, 0.9999999999999998]","[3206, 3206]","[0.00040169492454516056, 0.00040169492454516056]",[2316]
[51],"[(1032.5, -1557.5)]",[0],[155.11421125274393],[268.0618686073362],[0.9993449778259343],"[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[5003]
[72],"[(2432.5, -1890.0)]","[0, 1, 2, 3]","[19.718309859154928, 29.998469504883836, 16.651570045211205, 80.83321018560689]","[87.5, 1848.9949493661165, 582.4773039753471, 395.76543281616466]","[1.0, 1.0, 1.0, 0.9461580590511542]","[3202, 3202]","[0.0004011937456000013, 0.0004011937456000013]",[3087]
[77],"[(2082.5, -1802.5)]","[0, 1, 2, 3, 4, 5, 6]","[106.00819421734481, 123.7436867076458, 232.43084416729502, 37.79320672584917, 20.030840419244385, 82.95231309978394, 85.13824469684099]","[532.3371189106243, 165.99242404917499, 293.82876243967496, 126.79039550132192, 1615.0817638680905, 193.4692399174048, 1403.8621985045406]","[0.7991822645413761, 0.9999999999999991, 0.9999707662894144, 1.0, 1.0, 0.9891330841265933, 1.0]","[1733, 1733]","[0.00021713577799025677, 0.00021713577799025677]",[976]
[78],"[(3325.0, -1697.5)]","[0, 1]","[36.8421052631579, 34.13618943659195]","[129.24038412485382, 2957.8690121589707]","[1.0, 1.0]","[3945, 3945]","[0.0004942877346633369, 0.0004942877346633369]",[3586]
[109],"[(1592.5, -1505.0)]","[0, 1]","[44.299616194665944, 180.2775637731995]","[813.2033548462676, 235.45215885205164]","[0.8933220583920087, 1.0]","[1734, 1734]","[0.00021726107272654658, 0.00021726107272654658]",[854]
