,Total Spikes,Firing Rate (Hz),Mean ISI (s),Std ISI (s),Number of Bursts,Spikes per Burst,Burst Peak (s)
306,15,0.17709132246390408,6.050147215129398,4.852241656543808,0,1,0.0
474,34,0.36035404708558366,2.8591409993470522,2.2971955752709325,1,2,8.70815471808006
494,34,0.37193155191823046,2.7701415085363434,2.389130954148329,1,2,10.166429709748598
526,25,0.2770124304782818,3.7603607349610795,3.2818702341404484,0,1,0.0
543,22,0.2513519370992054,4.167937035653582,4.013338558136535,1,2,17.73047849761734
575,37,0.398358642370018,2.5800313297159994,2.2389697508400865,1,2,7.784686100274229
594,41,0.4283601130513264,2.392846506409396,2.401862535597076,3,4,9.801870687328773
602,34,0.354688044781238,2.904814654631208,3.469720634109717,0,1,0.0
626,15,0.16844268069518079,6.360790311616226,6.638126419513267,0,1,0.0
634,40,0.41124567197190615,2.493986187679785,2.087316065083043,2,3,9.065476058853235
642,26,0.33625821679737355,3.0928612240476347,2.310471899853016,0,1,0.0
654,48,0.5312754249041383,1.9223110045584302,1.9858327366386663,4,5,8.864186860447255
655,40,0.416834829948746,2.4605454053998757,2.2568719419680434,3,4,11.010299007967681
662,22,0.2422381205711821,4.324748908837423,3.3094212828360585,1,2,12.112545767273417
679,47,0.5007778216554508,2.0403042751716898,1.718773071993094,1,2,7.704246789385991
690,14,0.17714508439209367,6.0793280300085035,5.69309185636141,0,1,0.0
706,34,0.3543995946695797,2.9071789183721313,2.620118416187475,1,2,11.54643364427875
718,17,0.20631091521428865,5.149994118810509,5.8940987785672565,1,2,24.582829501838305
730,29,0.2979326505530341,3.4763369633766312,2.6996782030435638,0,1,0.0
746,33,0.37435845840888876,2.754712700717527,3.3928473221811872,2,3,13.288264519156291
747,14,0.1722749476018421,6.251187952249661,6.024153127210083,0,1,0.0
750,19,0.2377999568083579,4.4388382980499195,4.152567898106212,1,2,11.913495241581328
774,20,0.20779602913642417,5.065696314419391,4.63437987463679,0,1,0.0
782,20,0.23622138956617567,4.456123049993664,2.894083937644607,1,2,8.88782933300496
790,26,0.29499208102494395,3.525518367769539,3.013880863850516,2,3,10.642286318688454
795,38,0.391210430087389,2.6252547172569214,2.880867177182321,3,4,11.80976229226718
798,41,0.44164818729255834,2.3208518216356118,2.3432991976503685,1,2,9.777739872159284
806,19,0.21071823955985983,5.009322200870506,4.861806054161111,0,1,0.0
807,31,0.32379385816840384,3.191330864577119,2.6779163240146087,2,3,10.278783625584218
815,45,0.49445039855985073,2.068412272911692,1.9489278900046991,0,1,0.0
822,27,0.2858083839671443,3.63341874037158,3.40257446184219,1,2,12.71127728224208
826,43,0.45635651694922397,2.2434423214853245,2.256201644314986,1,2,10.498780011099363
846,47,0.4790981827134712,2.1326299437162395,2.403328675704765,3,4,11.480508643654932
847,26,0.325660981907842,3.1935050797528675,2.5508516800688024,1,2,11.674704455637162
850,14,0.15215774007382193,7.077675288819282,4.898797595072852,0,1,0.0
851,27,0.3084306850786134,3.3669203120852056,3.773203892975684,2,3,13.276470997318043
854,27,0.2974203482788412,3.4915618399046022,3.860358514584313,1,2,18.388408641213744
867,30,0.3055080638776314,3.3861062306854284,3.471432483043981,4,5,14.493672905938627
874,25,0.27911387493076684,3.7320490316901953,3.9479316067159473,0,1,0.0
875,23,0.305402451871395,3.4232028559311845,2.196735984755078,0,1,0.0
890,29,0.313628353689944,3.302361771596081,2.553301933391869,2,3,9.328183480560448
894,14,0.1475849930232579,7.2969687151956215,6.442684289494107,0,1,0.0
899,12,0.12951012044683063,8.42335013777518,9.047982769446486,0,1,0.0
907,35,0.3818112903993372,2.6961270936467554,2.4682508979430215,2,3,8.935172836438909
915,29,0.32206811356310716,3.2158237406862824,4.574705291301966,1,2,24.67588193871646
918,49,0.5003607703294903,2.040194583322567,1.8329580122898097,1,2,8.94125658945262
923,17,0.20637239156413434,5.1484599851129165,5.824510442734873,0,1,0.0
926,35,0.3733209201147487,2.7574446253627283,3.0414067982403368,0,1,0.0
934,48,0.49420678169324267,2.06649652245888,2.4372647650533525,2,3,13.634054763923052
939,17,0.24648022220638774,4.310690693512627,4.244503381504076,0,1,0.0
951,23,0.2329526630744582,4.487841141873484,3.5496668426699984,1,2,14.836722749775376
954,10,0.19132841282964924,5.807350276304218,6.3590786925319085,0,1,0.0
955,28,0.29023765219319597,3.573061693410943,4.22821395820412,2,3,15.47965066224089
967,10,0.13570984260724792,8.187402547704153,8.098701275577042,0,1,0.0
970,11,0.1338009482532143,8.221167445826188,6.890311377164883,0,1,0.0
979,42,0.4299997026027904,2.3823045404492134,2.060782493528474,2,3,8.406782021652774
982,47,0.4773804252157376,2.1403037838701464,1.8898544813146996,2,3,10.581845138456998
995,15,0.1951574086173119,5.4900737769559,4.079297069915743,0,1,0.0
999,41,0.422989495711516,2.4232280243173285,2.390542724019017,4,5,9.095565898547886
1002,14,0.16108841684613684,6.685291829217596,5.126410489104724,0,1,0.0
1003,35,0.352494585570922,2.920361919995405,2.258943719061073,0,1,0.0
1006,47,0.47871932642848014,2.1343176972977895,2.0269596485068,0,1,0.0
1007,21,0.26259894273410456,3.9984928692693975,4.80886049516383,1,2,18.71271254403493
1015,34,0.3557161135739186,2.8964193383073464,2.648531948833515,1,2,12.33007026184685
1022,27,0.2740785031368175,3.7889200596777477,3.437031645904745,0,1,0.0
