,Total Spikes,Firing Rate (Hz),Mean ISI (s),Std ISI (s),Number of Bursts,Spikes per Burst,Burst Peak (s)
306,33,0.33238386201285436,3.1025874534188973,2.3068433024382022,0,1,0.0
331,27,0.2771081086062588,3.747496035697324,3.7306374952321395,0,1,0.0
379,34,0.3606553973210909,2.8567520074730863,3.096653641702169,1,2,13.848613688833588
474,23,0.24911864906768671,4.1966129367155105,4.406756933325191,2,3,17.181384542634824
494,48,0.5044272742083907,2.0246260421730637,1.7399678320853664,0,1,0.0
526,18,0.1909529712197355,5.544943986199323,6.812019070595307,2,3,25.162440665827603
543,13,0.1668046240877833,6.494624110439612,4.4063849199484615,0,1,0.0
575,25,0.2540078559830432,4.100923031042808,4.651975843953631,1,2,16.676840768479774
594,46,0.482440141771478,2.1188581415897767,1.879454378757064,0,1,0.0
602,41,0.429173178079672,2.38831327853792,2.1196412083382667,1,2,8.962647070915956
626,18,0.18276932467547374,5.793223404922123,5.38165155411099,0,1,0.0
634,40,0.41903756997257935,2.447611143096646,1.9771332266762203,0,1,0.0
642,28,0.29508341884068606,3.5143860034945837,2.5910266131242747,1,2,9.324721080412068
654,31,0.315591919801142,3.2742705642921663,2.4220340690625735,0,1,0.0
655,19,0.19572237385297758,5.39312667619935,4.861878692382844,1,2,15.822766893845152
662,41,0.42508065294958025,2.411307108163254,2.411057965530352,4,5,9.568709533500009
679,15,0.17486331937598634,6.127234546685088,7.1791895296048,1,2,29.474126335531366
690,35,0.3667380837760021,2.8069399122852783,3.2668148853749894,1,2,14.035514932503006
706,48,0.5244203472198855,1.9474389221523996,1.9464767288355918,1,2,7.655046252180348
718,37,0.3790865806035657,2.7111953584360418,2.665275936862565,3,4,11.925750207288843
730,25,0.2743092127963364,3.7974177245007894,3.8422093636986694,0,1,0.0
746,33,0.3796477636887902,2.716333661444532,2.818660362650842,2,3,11.805115508678618
747,31,0.3272945988033017,3.1571964129916745,2.6357560897982495,2,3,9.993895105868674
750,28,0.3030751310121709,3.4217160397610837,3.957932649387686,0,1,0.0
774,24,0.2765199241209232,3.77360967455368,3.945364549946143,0,1,0.0
782,36,0.3857470489967574,2.6664401743228234,2.408061925175106,0,1,0.0
791,40,0.41490684970810154,2.4719790149586407,2.3385619558629025,1,2,8.118747138835907
795,42,0.4607748605004178,2.2231903945235096,2.7485459181940053,1,2,13.949400686933057
806,42,0.4598390477266977,2.2277147818714136,2.163167640796785,4,5,9.522997713000763
810,14,0.17268929698996538,6.236188899336678,4.809755195555314,0,1,0.0
815,45,0.4692656434906512,2.179420733040832,1.667050324431361,1,2,7.122777392429342
822,43,0.4551473658553753,2.249402282896751,2.3861792866563305,2,3,11.305159934241727
826,25,0.2727009414969032,3.819813239179799,2.6794480528727296,0,1,0.0
846,21,0.2347437108134424,4.4729632856254256,3.73638895597501,1,2,11.779586803127756
847,37,0.41305086626415105,2.4882595867030606,2.237185083180448,2,3,9.654906908103722
850,15,0.17968305490605446,5.962880428478676,3.7985299754624857,0,1,0.0
851,40,0.4097349107547445,2.5031819323175633,2.3495840464129896,1,2,11.73961847524972
867,29,0.31827514716910504,3.2541475353210436,2.8355527629934296,0,1,0.0
874,47,0.522029706913079,1.9572432696917534,2.1107855592465357,3,4,8.99947432499593
875,33,0.3579243403677748,2.88119550333003,3.188717813738073,3,4,14.533111477461546
890,31,0.3540530860675214,2.9185830430419313,2.1228729126363066,0,1,0.0
894,22,0.23300216310534475,4.496177347269514,3.2460395730413247,1,2,10.945237993661083
895,14,0.17379606856118796,6.1964754774871516,3.691828032452218,0,1,0.0
899,40,0.4112832771462494,2.49375815315806,1.7632644433462132,1,2,8.421507998028162
907,15,0.18106793739284202,5.917273852322168,6.0099880205740375,0,1,0.0
915,30,0.32260652269393325,3.2066393139922202,2.952961375619219,1,2,14.026970257403462
918,46,0.4912064015944113,2.0810441779752504,2.905661550448194,3,4,16.13447264686888
923,23,0.25523084991955874,4.096113560661034,4.678006772993584,0,1,0.0
926,17,0.18297975048323323,5.806653453150047,4.170292165263658,0,1,0.0
934,18,0.24368065348079548,4.345127585170444,3.5671312903677217,0,1,0.0
939,48,0.508458271861652,2.008575043937063,1.6351263737848147,1,2,8.04482259546592
951,20,0.23382896028111858,4.501716030733971,5.265864041612938,1,2,23.110551810898205
954,15,0.17093657556174616,6.267988977242306,4.865154942130185,0,1,0.0
955,27,0.2924522539745037,3.5508754825738933,3.3834818851147643,0,1,0.0
963,38,0.3885547982102612,2.643197386205652,2.9637883905091758,2,3,12.695231678056622
967,35,0.4302703704501531,2.3924765342984267,1.966345620198109,2,3,7.940912727484353
970,24,0.26709388606360357,3.9067845252776765,3.4558555224452,0,1,0.0
974,37,0.372829058293518,2.7566997660591057,2.535291065138,3,4,9.88539709862236
979,27,0.2807081881039873,3.6994344392862675,3.2808769962089284,0,1,0.0
982,45,0.4795648517554111,2.1326151593129823,2.2949052475775393,5,6,8.83466191671949
995,33,0.37291318492696934,2.765388947569548,2.6049485689211505,0,1,0.0
999,42,0.42281576708588925,2.42278156030626,2.349647369770246,3,4,9.300013335996425
1002,22,0.23672790203315486,4.425414320075897,3.6053351210602935,0,1,0.0
1003,23,0.2770108483710402,3.7740563288489657,3.4602543539785278,0,1,0.0
1006,38,0.38506065507509024,2.667182464608719,3.544154940403627,1,2,19.436112249397013
1007,17,0.19517519670059147,5.443826971671653,6.361951903976358,0,1,0.0
1015,10,0.14731664264561617,7.542332564447534,7.377858957748335,0,1,0.0
1022,49,0.5044257729697191,2.023753321174203,2.1958821912363864,2,3,9.71354450287955
