,Total Spikes,Firing Rate (Hz),Mean ISI (s),Std ISI (s),Number of Bursts,Spikes per Burst,Burst Peak (s)
35,2,0.03333333333333333,6.426299999999998,0.0,0,1,0.0
63,7,0.11666666666666667,8.27,5.043508622972701,0,1,0.0
79,3,0.05,4.7613,4.634199999999998,0,1,0.0
155,2,0.03333333333333333,8.6052,0.0,0,1,0.0
175,26,0.43333333333333335,2.2151,1.788775699745499,0,1,0.0
291,2,0.03333333333333333,4.0291,0.0,0,1,0.0
303,7,0.11666666666666667,7.6373500000000005,9.518439118495216,0,1,0.0
447,3,0.05,11.76635,9.53305,0,1,0.0
475,3,0.05,7.5482,4.075899999999999,0,1,0.0
535,2,0.03333333333333333,9.003800000000002,0.0,0,1,0.0
575,2,0.03333333333333333,31.062999999999995,0.0,0,1,0.0
615,2,0.03333333333333333,34.3306,0.0,0,1,0.0
691,2,0.03333333333333333,8.0988,0.0,0,1,0.0
699,4,0.06666666666666667,14.121266666666665,17.75241634939374,0,1,0.0
839,7,0.11666666666666667,6.383383333333334,4.518669299479166,0,1,0.0
907,3,0.05,23.799100000000003,4.387199999999998,0,1,0.0
911,4,0.06666666666666667,14.353900000000001,17.941222763234396,0,1,0.0
939,2,0.03333333333333333,12.835100000000004,0.0,0,1,0.0
1003,2,0.03333333333333333,42.0095,0.0,0,1,0.0
