,Total Spikes,Firing Rate (Hz),Mean ISI (s),Std ISI (s),Number of Bursts,Spikes per Burst,Burst Peak (s)
5,8,0.13333333333333333,7.365657142857143,6.485430917031792,0,1,0.0
15,3,0.05,27.652250000000002,9.72045,0,1,0.0
31,5,0.08333333333333333,9.9801,7.685201774514449,0,1,0.0
43,0,0.0,,,0,0,
49,0,0.0,,,0,0,
51,0,0.0,,,0,0,
55,7,0.11666666666666667,9.259433333333334,8.857887203629442,0,1,0.0
59,1,0.0,,,0,0,
71,0,0.0,,,0,0,
75,0,0.0,,,0,0,
79,0,0.0,,,0,0,
91,0,0.0,,,0,0,
119,0,0.0,,,0,0,
131,11,0.18333333333333332,5.488390000000001,3.6544513934241887,0,1,0.0
143,1,0.0,,,0,0,
159,1,0.0,,,0,0,
167,3,0.05,15.95925,4.712450000000001,0,1,0.0
171,13,0.21666666666666667,4.821825,3.7750749646254262,1,2,10.8097
179,4,0.06666666666666667,11.313233333333335,12.079645423696103,0,1,0.0
187,6,0.1,9.81712,6.362236876256652,0,1,0.0
195,4,0.06666666666666667,14.995766666666668,8.40632601966453,0,1,0.0
199,4,0.06666666666666667,13.521866666666668,10.36992634957238,0,1,0.0
207,0,0.0,,,0,0,
211,1,0.0,,,0,0,
215,0,0.0,,,0,0,
219,6,0.1,11.07496,9.710492641797327,0,1,0.0
227,4,0.06666666666666667,10.906733333333333,7.277187302034276,0,1,0.0
233,0,0.0,,,0,0,
235,4,0.06666666666666667,15.9559,6.762022127046514,0,1,0.0
243,10,0.16666666666666666,5.607933333333333,7.613009660516076,1,2,25.884
247,6,0.1,8.46536,4.829750659236976,0,1,0.0
271,9,0.15,4.8649249999999995,4.896679241269023,0,1,0.0
275,2,0.03333333333333333,15.732600000000001,0.0,0,1,0.0
283,0,0.0,,,0,0,
295,0,0.0,,,0,0,
311,37,0.6166666666666667,1.4038666666666666,1.0463503274610166,3,4,4.0107
323,56,0.9333333333333333,1.0702363636363637,0.7991474173628333,6,7,3.1944
331,1,0.0,,,0,0,
371,6,0.1,9.190839999999998,8.43349645606139,0,1,0.0
375,11,0.18333333333333332,4.45706,4.312985117108568,1,2,10.8198
379,1,0.0,,,0,0,
383,13,0.21666666666666667,3.7886666666666664,2.4901370910498524,0,1,0.0
387,21,0.35,2.772215,2.440366026086047,0,1,0.0
391,1,0.0,,,0,0,
419,1,0.0,,,0,0,
435,8,0.13333333333333333,6.689642857142858,4.30733763141693,0,1,0.0
455,3,0.05,19.42135,0.3014499999999991,0,1,0.0
459,0,0.0,,,0,0,
467,0,0.0,,,0,0,
471,2,0.03333333333333333,9.517800000000001,0.0,0,1,0.0
483,0,0.0,,,0,0,
491,21,0.35,2.870845,2.1842029915909835,2,3,7.889899999999999
523,0,0.0,,,0,0,
531,3,0.05,16.48255,14.07995,0,1,0.0
547,2,0.03333333333333333,46.1584,0.0,0,1,0.0
555,1,0.0,,,0,0,
559,5,0.08333333333333333,10.426449999999999,14.54606098167129,0,1,0.0
563,1,0.0,,,0,0,
571,4,0.06666666666666667,14.055566666666666,8.478128393434222,0,1,0.0
575,16,0.26666666666666666,3.153406666666667,2.5484733164430478,2,3,9.441700000000004
583,16,0.26666666666666666,3.61944,4.398982405632769,1,2,18.621
603,1,0.0,,,0,0,
607,8,0.13333333333333333,7.950228571428572,9.443831259113658,1,2,28.5999
615,0,0.0,,,0,0,
619,1,0.0,,,0,0,
623,2,0.03333333333333333,27.3926,0.0,0,1,0.0
631,0,0.0,,,0,0,
635,2,0.03333333333333333,27.521300000000004,0.0,0,1,0.0
651,1,0.0,,,0,0,
679,1,0.0,,,0,0,
683,14,0.23333333333333334,3.879469230769231,2.9148227003435156,0,1,0.0
687,0,0.0,,,0,0,
699,102,1.7,0.5834871287128713,0.6085417383056587,19,20,3.4076000000000004
703,15,0.25,3.386914285714286,4.086854881700796,0,1,0.0
707,1,0.0,,,0,0,
723,1,0.0,,,0,0,
731,0,0.0,,,0,0,
735,3,0.05,4.889749999999999,2.26135,0,1,0.0
743,7,0.11666666666666667,8.067516666666666,5.179430192732489,0,1,0.0
767,2,0.03333333333333333,46.322100000000006,0.0,0,1,0.0
775,16,0.26666666666666666,3.11202,3.7796709557314645,2,3,13.375500000000002
779,1,0.0,,,0,0,
783,19,0.31666666666666665,2.8303611111111113,3.892099708403464,2,3,16.649900000000002
799,1,0.0,,,0,0,
803,2,0.03333333333333333,6.364899999999999,0.0,0,1,0.0
807,3,0.05,15.892249999999999,13.297950000000002,0,1,0.0
831,38,0.6333333333333333,1.4742783783783786,1.3093523179440585,3,4,5.493600000000001
839,2,0.03333333333333333,18.6181,0.0,0,1,0.0
863,0,0.0,,,0,0,
867,4,0.06666666666666667,9.221766666666667,4.512819997395076,0,1,0.0
874,2,0.03333333333333333,6.592300000000002,0.0,0,1,0.0
882,1,0.0,,,0,0,
883,2,0.03333333333333333,29.6716,0.0,0,1,0.0
887,1,0.0,,,0,0,
891,1,0.0,,,0,0,
893,1,0.0,,,0,0,
923,0,0.0,,,0,0,
927,0,0.0,,,0,0,
930,0,0.0,,,0,0,
931,0,0.0,,,0,0,
935,2,0.03333333333333333,15.9187,0.0,0,1,0.0
939,2,0.03333333333333333,15.889100000000001,0.0,0,1,0.0
947,0,0.0,,,0,0,
951,1,0.0,,,0,0,
958,0,0.0,,,0,0,
962,0,0.0,,,0,0,
