,Total Spikes,Firing Rate (Hz),Mean ISI (s),Std ISI (s),Number of Bursts,Spikes per Burst,Burst Peak (s)
55,46,0.47970537643645184,2.1309375971891766,1.824412132499478,3,4,8.460904099028063
563,47,0.5038801437473397,2.027742396904437,1.893588335733141,1,2,7.543163637609112
567,20,0.24628834947817435,4.273980402149111,2.9854526828140835,1,2,12.691729902761978
571,27,0.28324149615809635,3.6663467484365446,3.596316198623454,1,2,14.861399639286752
575,44,0.45328940023836894,2.257400710043946,1.6758792707315933,2,3,6.776849232595104
595,16,0.18051021978152426,5.909176045310223,6.513595736189372,0,1,0.0
607,10,0.10801252390250246,10.286872956640249,7.249900178941247,0,1,0.0
611,49,0.5057259770663941,2.0185503209761233,3.1957725173291642,6,7,20.314669961301547
627,41,0.49435567413415166,2.073405957755527,2.3459853079813704,2,3,11.757483274818753
631,40,0.4066711120502225,2.5220405267300188,2.2601481889465367,0,1,0.0
643,12,0.1543443350018305,7.068021582367456,9.020023920469965,1,2,31.140227077991714
647,35,0.46615685887074176,2.20829479415924,2.4161996184725427,3,4,10.342605462226551
651,45,0.49547357380909873,2.0641409083934716,1.9409838460441198,0,1,0.0
655,25,0.2874381717267349,3.6239677576886713,3.450704402083601,2,3,13.84578644168461
659,15,0.15266735238568627,7.018059556844887,5.843683542704572,0,1,0.0
663,11,0.17292509606186146,6.361135688520831,3.4295338968656077,0,1,0.0
667,28,0.31751668674803485,3.266086729671556,3.1058159393050846,1,2,11.55633439131839
671,13,0.1404192349336849,7.714992421408318,7.916316378562245,0,1,0.0
675,16,0.16469701646443402,6.476539099279986,4.749880752841278,0,1,0.0
679,44,0.4443509130249295,2.3028101978853828,2.3774225481944105,4,5,10.02494178601789
683,42,0.432281404402489,2.36973007274828,2.356753942127218,1,2,10.248335897246164
687,37,0.3929618147336704,2.6154647582599173,2.2599727396819995,1,2,7.873498564255257
691,33,0.3466763619695697,2.9746764219549533,2.5994207063123844,3,4,9.96609584734611
695,31,0.31999497915520236,3.229217333538697,3.911301598436231,2,3,15.69065173719002
699,24,0.2449804394376777,4.259435011483939,3.929735724614723,0,1,0.0
703,42,0.45821987684458987,2.2355866597421126,2.1604683267952725,2,3,9.042842087893064
707,43,0.4395715509851428,2.329107790335885,3.0428005014477604,5,6,14.49480908188404
711,13,0.1584469549831651,6.837198818042523,6.157148207686488,1,2,23.742151061972677
715,43,0.43454521649878325,2.3560483119767364,2.5535274463443076,3,4,10.96824288506707
723,38,0.3924095765369692,2.6172323216231956,2.9387878856364704,3,4,14.356229861317463
739,16,0.17079732630942263,6.245218761412311,7.045413165329876,0,1,0.0
747,25,0.2554282703652322,4.078118154960713,3.500548888652908,1,2,11.33605499574745
751,39,0.40252000773670427,2.549726149625378,2.3724722653376675,0,1,0.0
755,21,0.21590152182288574,4.863328387566276,6.628988547800323,0,1,0.0
763,19,0.21536351904937096,4.901273717177584,6.138630831510626,0,1,0.0
767,20,0.23411805171375494,4.496157264431584,4.167019089986597,1,2,13.463808291417664
771,27,0.277201950934071,3.746227380299078,4.938192551197926,0,1,0.0
775,23,0.24223797806047132,4.315816016238223,5.316286872061001,0,1,0.0
779,38,0.4044069347109696,2.539588070518734,2.1883222794369908,1,2,8.885563015008103
783,47,0.4868032983643564,2.098874707438905,2.057070339861553,1,2,9.662286737317054
787,21,0.2170753958969691,4.837029068454923,4.035587948145521,0,1,0.0
791,39,0.44004837094342747,2.3322794884420266,2.7372946831715113,0,1,0.0
799,24,0.3251942436248065,3.2087845382450264,2.3518768182239786,0,1,0.0
803,43,0.44436178751670374,2.3039999220703433,2.1591571809179464,5,6,9.173019027179329
807,47,0.4929383575946764,2.072752332402012,1.7472719143962419,3,4,8.376982424047043
811,29,0.30092947097533734,3.4417176966996617,3.7285304588786086,1,2,17.86055360073234
815,29,0.32679089363357466,3.1693486749224276,2.860326977608961,1,2,10.17447838992522
819,44,0.4461778632416714,2.29338095466929,1.9202080037011549,4,5,8.406453549817826
823,24,0.250825385923277,4.160178033928139,4.9437775474527665,0,1,0.0
827,21,0.24632613749314647,4.262641434180789,4.343955568975402,0,1,0.0
831,42,0.42707253732634487,2.3986329121407715,2.038585094407196,4,5,8.448573944040794
835,16,0.17742716171263706,6.011856676117333,7.648042879641985,0,1,0.0
839,16,0.19428613529690347,5.490184181370492,6.189046635205071,0,1,0.0
843,32,0.37469664834232336,2.7549167281930336,2.827158813474107,1,2,12.430530410176043
847,29,0.29775108108506865,3.478456843682721,3.555388435554525,3,4,11.667459251901263
851,43,0.46071462111880956,2.2222206044238018,2.151264287120357,1,2,9.816739473163828
855,16,0.18081759468314643,5.899130936543135,4.885859711045203,0,1,0.0
859,13,0.18401092235744085,5.887331683653868,6.282043157831262,0,1,0.0
863,38,0.38331128013885607,2.6793550835628483,2.506397707676955,1,2,10.867212808976163
867,25,0.3212286426207265,3.242757738439155,2.35950459530074,1,2,9.759417978246955
871,40,0.4184389055777473,2.4511129628945514,2.0900000038220123,4,5,7.339405130121513
875,20,0.2253130691480266,4.671862058102846,3.626441442872748,0,1,0.0
879,30,0.3336720630125873,3.1002977872368818,2.9679676570521862,1,2,13.493532273318923
883,12,0.12777967997760756,8.537422312375993,6.74030879872991,0,1,0.0
887,28,0.29193232367033617,3.5523200171835323,2.8048031103293916,0,1,0.0
891,42,0.45354035072611415,2.258652934104759,1.9832224864402714,2,3,8.43216337057018
895,23,0.23931581622898304,4.368514216604179,2.9302327696790558,0,1,0.0
898,46,0.4743612563319732,2.154944588279862,2.187802158383093,4,5,7.689596577076713
899,13,0.1436043624023673,7.543874818356318,6.464023522961108,0,1,0.0
902,31,0.33501345104735564,3.084453266287708,3.314739997734501,2,3,10.906082719279487
903,36,0.3819991138740597,2.692601608784191,2.465891327076807,0,1,0.0
907,16,0.16388637107238865,6.508574567164708,4.557493547099029,0,1,0.0
910,48,0.5014089209430419,2.0368137723275446,1.8795346081384554,3,4,8.968772320928672
911,20,0.20080233993766114,5.242128051267513,4.436468574808186,0,1,0.0
914,35,0.3974107628982602,2.5902966421908875,3.5900719067945173,3,4,15.935035292367903
915,31,0.33487362916210184,3.0857411373922456,3.0539362330653663,0,1,0.0
918,45,0.4753466637661522,2.151539814383563,1.7211143773911124,3,4,8.110830250968704
919,45,0.4673423965166963,2.1883896696514133,1.783626081657611,2,3,9.185433639462488
923,14,0.1583696755925116,6.800058615350214,6.578981339894347,0,1,0.0
926,30,0.318286932400126,3.2501578083017786,3.286397589006149,0,1,0.0
927,22,0.22618302774429358,4.631731470158809,3.551351594074611,0,1,0.0
934,33,0.3384761024376228,3.0467438988253166,3.241075394498727,0,1,0.0
935,48,0.5223305525468473,1.9552304393549398,2.4213811357841664,0,1,0.0
938,41,0.42102861049713797,2.4345138891860834,2.5100656066840172,2,3,9.231449639820966
939,11,0.1438553964888748,7.646567503535188,4.3305239913354034,0,1,0.0
942,31,0.318379731236543,3.245600243834647,2.9936382120781455,1,2,13.126829434409224
943,35,0.383403092826964,2.6849333872496235,2.8306495790038704,1,2,12.244452466445992
947,45,0.4758050986701851,2.1494668207332492,1.504296886074807,0,1,0.0
950,24,0.25032285061969894,4.168529793769652,4.559001728894514,1,2,15.724414363469151
951,42,0.43982620680852147,2.329079595633117,2.5083428003692987,1,2,11.654036550534308
955,16,0.16297391468180694,6.545014696058845,6.625144822345311,1,2,24.068005193132365
959,27,0.2804504100523926,3.7028348015876937,3.845862380956267,0,1,0.0
963,25,0.2940213208475985,3.542826974804996,3.1026221242011864,1,2,12.650436581797106
966,14,0.14781915382126484,7.285409563534885,5.037906910840589,0,1,0.0
967,13,0.14099602196955,7.6834319025489535,4.939390669836236,0,1,0.0
971,34,0.3513916257935904,2.932064837846297,2.656518668723684,0,1,0.0
974,27,0.2770440907163685,3.748361987351292,3.0272405671065274,0,1,0.0
975,33,0.35321896047330203,2.919577133170196,2.8314396800711368,1,2,15.036857557630242
979,36,0.3755668555953407,2.738717256987331,2.9263383205893727,2,3,11.320257394910179
983,16,0.16260387867907886,6.559909119830285,5.201728650245887,0,1,0.0
987,30,0.3125914849581322,3.3093760015863705,3.211861426820442,0,1,0.0
991,18,0.23752116666641873,4.457807042093244,5.274492863708413,0,1,0.0
995,45,0.47206461882747097,2.166498466391222,1.6675389589873786,2,3,7.07283030653025
998,28,0.289108099296263,3.5870217387937484,3.6052064669040695,1,2,15.325291650817434
999,19,0.19235544272347274,5.487526324238228,4.358393513274411,0,1,0.0
1003,35,0.3654138064997614,2.8171123980411354,2.778273818287989,2,3,14.877217922106496
1007,48,0.4906021982997293,2.081679615957898,1.8153457214130324,2,3,7.699839477170798
1011,20,0.22256564988613614,4.729532969197589,4.997139208763062,0,1,0.0
1015,22,0.23550502447132377,4.448393616954915,4.764185185002052,1,2,19.25060600988605
1019,34,0.4006871208783774,2.5713405213634593,2.8013100240309425,5,6,11.501520349709438
1023,26,0.2841112201299514,3.6605382903368193,3.660726061448685,1,2,15.679003703717786
