Run 5 (Spicy) - Total Spikes,Run 5 (Spicy) - Firing Rate (Hz),Run 5 (Spicy) - Mean ISI (s),Run 5 (Spicy) - Std ISI (s),Run 5 (Spicy) - Number of Bursts,Run 5 (Spicy) - Spikes per Burst,Run 5 (Spicy) - Burst Peak (s),Run 2 (No Spicy) - Total Spikes,Run 2 (No Spicy) - Firing Rate (Hz),Run 2 (No Spicy) - Mean ISI (s),Run 2 (No Spicy) - Std ISI (s),Run 2 (No Spicy) - Number of Bursts,Run 2 (No Spicy) - Spikes per Burst,Run 2 (No Spicy) - Burst Peak (s)
26,4.9638877168598446e-05,420095.0,179412.22763234394,0,1,0.0,11,3.352386060778759e-05,445813.0,129288.36298633958,0,1,0.0
7,4.695047627646608e-05,343306.0,177524.16349393743,0,1,0.0,10,3.249074013906037e-05,267950.0,87052.18395626589,0,1,0.0
7,3.150400100812803e-05,310630.0,50435.08622972702,0,1,0.0,5,2.873040347063274e-05,216694.0,71773.0,0,1,0.0
4,3.1122107589125934e-05,237991.0,46342.0,0,1,0.0,4,2.621896330219103e-05,144841.0,58273.9317284324,0,1,0.0
4,2.4695016545661085e-05,143539.0,45186.69299479168,0,1,0.0,3,1.921662552561838e-05,124661.75,34936.5,0,1,0.0
3,2.3241760795797888e-05,141212.66666666666,43872.0,0,1,0.0,3,1.7276050556634347e-05,124315.66666666669,31976.16777971593,0,1,0.0
3,2.2212843466092093e-05,128351.0,40759.0,0,1,0.0,3,1.38082449030316e-05,64315.11111111111,2387.5,0,1,0.0
3,1.9872287432765427e-05,90038.0,17887.75699745499,0,1,0.0,2,1.0725384572070562e-05,61556.0,0.0,0,1,0.0
2,1.8276619243191307e-05,86052.0,0.0,0,1,0.0,2,1.0027133423042751e-05,59659.0,0.0,0,1,0.0
2,1.558227049263348e-05,82700.0,0.0,0,1,0.0,2,7.464079119238664e-06,57242.1,0.0,0,1,0.0
