path,electrodes
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16792/Network/000196/data.raw.h5,"[11794, 14132, 18044, 15172, 16802, 17160, 16189, 15811, 12496, 13232, 14450, 10122, 17284, 8330, 13480, 17385, 12953, 11408, 11914, 14433, 8529, 9913, 11607, 14545, 13265, 17455, 4198, 17204, 10921, 19305, 12390, 15426, 6842, 18052, 22206, 20037, 20854, 9424, 15227, 13033, 10608, 7294, 6848, 19217, 22206, 8134, 1965, 22283, 21358, 20045, 14776, 14776, 7220, 23782, 12026, 1933, 26135, 8626, 897, 23069, 4671, 24367, 7946, 7009, 22611, 7738, 8728, 19834, 1127, 1762, 21996, 2005, 4441, 836, 7301, 7009, 7423, 8272, 8272, 24909, 22844, 16884, 26216, 1015, 1578, 26338, 2458, 15248, 1815, 20066, 22494, 19946, 2281, 23351, 18217, 20382, 3455, 19003, 3582, 3582, 4736, 12407, 11997, 4017, 20993, 58, 7333, 23856, 12417, 26235, 2032, 2912, 23150, 3567, 733, 2281, 16866, 25786, 19264, 24057, 14820, 22136, 3207, 19666, 15108, 26095, 558, 22961, 9805, 21414, 11121, 18135, 19929, 8880, 13517, 17729, 5138, 2990, 15508, 25887, 9136, 357, 19008, 16816, 13549, 2750, 12421, 23004, 24754, 23875, 21908, 2750, 1668, 25832, 15523, 1640, 3196, 17267, 17267, 23207, 13286, 14191, 11762, 2088, 6941, 22975, 21458, 2327, 11539, 1853, 22572, 3171, 26075, 22538, 2514, 4308, 20403, 9596]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16940/Network/000200/data.raw.h5,"[12806, 8620, 13622, 12756, 16056, 13037, 12800, 11042, 9940, 15659, 9313, 9206, 7900, 8513, 16344, 12593, 18498, 13011, 10758, 9088, 22016, 23046, 4823, 17822, 2182, 13155, 23086, 8414, 20202, 19139, 9231, 15452, 18723, 12098, 21091, 12822, 15031, 6996, 1155, 3700, 21170, 7233, 1519, 2365, 5449, 12838, 19172, 9438, 16873, 21842, 20629, 1134, 22707, 22707, 18949, 6207, 7293, 25342, 10421, 21420, 2238, 16578, 25946, 406, 20006, 8282, 4678, 12719, 6655, 9649, 26131, 19199, 812, 15260, 8745, 6659, 15344, 7563, 3487, 17753, 2906, 4127, 14381, 4798, 26150, 157, 5206, 4248, 11514, 3876, 18782, 10864, 4001, 15132, 3013, 3903, 5123, 26345, 2579, 17687, 26339, 18565, 2697, 23192, 7187, 23159, 9401, 3145, 23694, 22071, 6533, 22142, 23807, 1611, 21413, 25435, 3796, 5807, 1440, 21249, 1024, 24337, 24344, 5144, 25607, 1886, 24309, 25627, 8224, 25844, 23004, 25206, 5616, 2080, 2080, 16191, 26082, 6273, 26290, 8472, 22761, 11744, 25390, 5856, 9313, 8224]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16787/Network/000192/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16869/Network/000204/data.raw.h5,"[8430, 8430, 11043, 9019, 12057, 12720, 10478, 14208, 16630, 14882, 12614, 14680, 10810, 13456, 12470, 12286, 11069, 13772, 12113, 12233, 4411, 15439, 11887, 15277, 11392, 14502, 13316, 11690, 14692, 15072, 6978, 20030, 6004, 23559, 18022, 15836, 10486, 19420, 11199, 17998, 8832, 6379, 18443, 10512, 14076, 18934, 18215, 18524, 18577, 10523, 16100, 14004, 17766, 5574, 8107, 23312, 16911, 5455, 3700, 18639, 24610, 9669, 15230, 8321, 16391, 3782, 7507, 1519, 16989, 442, 20474, 15966, 25972, 16644, 830, 8655, 22623, 18196, 2019, 20055, 2899, 8403, 17762, 9503, 14448, 4161, 5985, 13922, 6560, 19829, 8628, 195, 1361, 8342, 8342, 13942, 24015, 1347, 19539, 20724, 5996, 607, 12439, 22392, 7334, 24242, 161, 491, 20961, 10677, 9971, 5429, 17639, 26360, 19746, 20821, 17681, 2266, 22491, 16822, 14434, 10864, 18975, 23593, 25145, 14605, 16856, 155, 1916, 23162, 22357, 4710, 19512, 5560, 22349, 22349, 10913, 25027, 4781, 4677, 8921, 1817, 20753, 22163, 4124, 24914, 24571, 17747, 7771, 17277, 17645, 11530, 19723, 1930, 6244, 25590, 5801, 13539, 1169, 13102, 24269, 11104, 22080, 18844, 23173, 17708, 5791, 1614, 22084, 11340, 18397, 4548, 14822, 16365, 6951, 13744, 4299, 22581, 18372, 7795, 15501, 20372, 4299, 26080, 5144, 22755, 22755, 25167, 7810, 18362, 9546, 21673, 11564, 25179, 26317, 4722, 24730, 26051, 25828, 981, 19230, 1214, 4299, 5400, 778, 23407, 2981, 17513, 5156, 7825, 3843, 8486, 4303, 17935, 25643, 3204, 24735, 8229, 25866, 7597, 21416, 23858, 23239, 16391, 26080, 22979, 8025]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16666/Network/000194/data.raw.h5,"[15795, 15308, 12557, 11269, 13049, 11252, 18192, 6000, 11022, 11203, 11344, 15556, 17395, 7247, 12785, 14249, 8413, 11889, 11597, 12238, 8378, 12032, 11263, 3332, 12500, 3962, 4407, 4125, 4435, 13155, 10997, 22437, 5739, 6191, 15227, 9912, 19358, 8343, 17007, 17409, 20239, 6848, 10636, 23103, 9478, 23113, 19810, 2644, 18210, 12760, 1788, 21504, 11285, 21757, 20608, 21039, 9516, 18155, 218, 12024, 23, 12064, 17756, 1781, 22689, 22863, 5579, 14239, 21820, 9267, 9172, 1067, 13832, 24186, 6128, 25556, 22429, 26191, 18691, 5319, 24868, 25290, 8540, 21109, 4893, 17870, 21739, 21039, 15895, 15895, 17739, 22410, 10399, 24474, 9406, 25113, 10918, 1573, 184, 10726, 18419, 12469, 19643, 10184, 2146, 25909, 39, 23347, 19973, 23924, 26245, 15768, 19419, 23506, 1145, 21851, 6901, 12012, 13289, 10481, 15953, 792, 22952, 15539, 2356, 21498, 6234, 19931, 11307, 17249, 25000, 2050, 23189, 1265, 16668, 6893, 23266, 7615, 2580, 6662, 15103, 7336, 23807, 17527, 4443, 4443, 24909, 24909, 23626, 6006, 2765, 17456, 4690, 22132, 26324, 2032, 25172, 6031, 1022, 19014, 6709, 19688, 10457, 8494, 18801, 17944, 17078, 8433, 730, 22801, 12202, 21888, 13522, 25187, 22772, 11113, 2759, 114, 21457, 8688, 22541, 22541, 9778, 26292, 20569, 12868, 21243, 2322, 3176, 5155, 20806, 20806, 21688, 19062, 11996, 11996, 5275]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16856/Network/000186/data.raw.h5,"[14874, 16977, 11680, 17595, 12374, 13656, 13373, 15898, 11909, 14516, 14473, 12366, 9940, 13179, 5956, 14117, 14819, 14747, 15015, 12070, 16937, 14082, 17865, 11394, 9469, 16983, 22446, 6113, 17406, 8197, 21779, 5956, 19843, 17811, 11707, 20694, 4664, 8105, 19186, 14499, 8123, 10553, 20278, 16475, 9926, 7964, 10523, 15816, 9865, 14401, 10612, 8370, 21529, 13044, 2661, 3074, 17833, 2411, 8310, 3061, 9179, 20112, 21163, 7954, 7670, 1353, 24191, 7432, 4463, 13602, 24432, 24244, 16666, 24666, 9079, 19339, 24449, 10931, 25761, 15794, 15695, 474, 3793, 25770, 17527, 9842, 14593, 22409, 5884, 23572, 15269, 22264, 20506, 497, 25825, 5789, 25782, 497, 18440, 3568, 4548, 26021, 3459, 23025, 24699, 1703, 2050, 26099, 21725, 7190, 19847, 25154, 19505, 21639, 21639, 809, 75, 4765, 15549, 20773, 3874, 25226, 22309, 2506, 1866, 9126, 16827, 3857, 23432, 5609, 5394, 2099, 24981, 24527, 7592, 8894, 21443, 6886, 3831]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16665/Network/000182/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16795/Network/000190/data.raw.h5,"[13198, 12805, 12023, 16249, 13198, 17998, 13828, 12304, 12035, 9715, 14715, 15616, 12299, 11479, 16702, 6163, 15661, 16715, 14072, 11915, 10103, 18052, 12805, 7195, 15894, 10553, 17602, 16906, 6826, 6826, 20714, 13588, 2914, 13584, 13584, 5039, 10776, 14726, 7748, 18520, 17363, 10533, 11710, 7655, 14783, 18282, 21298, 10169, 15605, 15372, 4894, 3299, 19379, 25298, 3516, 5464, 5526, 20071, 7060, 4822, 7250, 2397, 19594, 1759, 4005, 25056, 10525, 3994, 6333, 24475, 21980, 3324, 7459, 25964, 25964, 15130, 6126, 11174, 21558, 16086, 24383, 948, 10525, 26200, 23733, 25487, 21980, 3757, 23288, 23963, 4420, 23753, 1083, 3286, 24653, 19542, 23310, 3511, 1753, 2391, 23071, 3052, 2688, 8527, 26153, 11607, 5344, 10073, 26229, 2031, 16231, 2231, 7313, 20415, 23809, 4463, 9085, 25703, 6649, 2681, 26220, 8650, 3343, 25255, 21275, 7560, 7411, 8066, 19223, 17763, 7838, 21498, 22378, 25884, 16883, 4692, 160, 14895, 7842, 8736, 17668, 17007, 10067, 1267, 9528, 18856, 24691, 935, 170, 22470, 24150, 5145, 21262, 22050, 23480, 2790, 24352, 7313, 22361, 13492, 25668, 25668, 1636, 26302, 6061, 4736, 11592, 6303, 2318, 3863, 89, 2299, 4947, 5635, 104, 4750, 4732, 3647, 20415, 10525]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16861/Network/000198/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16657/Network/000178/data.raw.h5,"[9703, 13043, 15450, 13186, 18200, 13879, 16705, 12284, 9744, 9767, 12357, 12539, 12357, 8422, 13385, 13277, 7291, 11634, 5065, 5055, 5292, 19424, 5519, 6337, 8759, 17562, 11950, 16913, 8376, 18524, 16785, 16124, 18087, 23103, 8576, 17640, 21399, 19579, 688, 24879, 9416, 22207, 24019, 5279, 2637, 11748, 13687, 16435, 1134, 10051, 19387, 2844, 13254, 17369, 22076, 13259, 5261, 24037, 9515, 22938, 26229, 12177, 25991, 20523, 8269, 10406, 25925, 76, 605, 8957, 2380, 4695, 11740, 22919, 21601, 8730, 9979, 4580, 10654, 20343, 21288, 20164, 15471, 3342, 24681, 18797, 26330, 13339, 25029, 11064, 12622, 21417, 1467, 1050, 7846, 946, 20546, 23398, 7370, 7370, 19671, 19671, 18159, 26324, 11101, 21865, 2340, 25401, 21004, 6477, 5404, 24738, 9568, 12001, 769, 14174, 9572, 16613, 7815, 6494, 12666, 9781, 13964, 4728, 5187, 11767, 2730, 4065]"
