path,electrodes
/mnt/disk15tb/jonathan/Syngap3_1/221227/16792/Network/000092/data.raw.h5,"[11523, 12967, 14811, 15393, 13025, 11408, 11826, 14512, 10914, 13437, 13255, 11670, 8637, 13265, 16181, 15621, 11678, 12315, 14767, 12357, 17204, 16866, 11612, 11423, 16732, 13549, 17160, 14925, 16119, 20621, 7095, 12400, 8746, 9805, 10004, 10004, 21578, 7514, 21767, 12909, 4212, 19292, 13012, 14449, 19832, 6811, 6841, 16690, 9517, 8603, 13586, 11160, 20035, 18183, 8529, 18711, 7495, 14031, 11685, 19995, 17183, 4111, 23980, 465, 20264, 3484, 19217, 1965, 22602, 9227, 23351, 20275, 3975, 6572, 9136, 11941, 5342, 23783, 16798, 1933, 17000, 4451, 24426, 25122, 2438, 3280, 18895, 10179, 15137, 7226, 17455, 7655, 22287, 9325, 23087, 22620, 2225, 19667, 3951, 8100, 18629, 15059, 16802, 6522, 1128, 4371, 3556, 13517, 2454, 26215, 25689, 21616, 6551, 626, 22282, 10203, 14884, 616, 8487, 19728, 1060, 25565, 2281, 4253, 575, 16166, 22374, 17903, 8879, 25434, 4020, 26095, 24276, 7333, 10880, 12854, 3803, 3571, 164, 15523, 26232, 15722, 50, 291, 23597, 18340, 8866, 8508, 13730, 14219, 1168, 8062, 22988, 11786, 22960, 13567, 6246, 21642, 20830, 2713, 26042, 12407, 5145, 9154, 23204, 19264, 19900, 25445, 24556, 16149, 17477, 5201, 11530, 4972, 6478, 113, 17719, 19465, 4287, 22973, 20783, 81, 6034, 20347, 17486, 12217, 16166, 8236, 17951, 11323, 5617, 26301, 16843, 22108, 5156, 23845, 14615, 7373, 2088, 23855, 2514, 16847, 22323, 1667, 18178, 22136, 2540, 3171, 4951, 21908]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16940/Network/000096/data.raw.h5,"[13405, 14481, 13023, 13396, 14718, 12306, 8748, 16476, 12497, 10354, 10822, 13633, 10139, 9939, 12757, 16057, 10512, 14942, 18003, 9691, 9889, 15679, 12932, 15551, 16372, 13601, 9978, 10201, 7706, 8800, 11624, 20621, 17179, 17163, 14795, 10970, 5476, 6550, 20917, 6132, 8401, 6168, 5463, 16310, 10178, 9002, 11163, 18844, 6423, 19139, 17579, 3340, 7679, 18723, 9438, 10101, 12301, 13375, 19553, 9478, 16570, 23097, 5094, 19605, 7013, 7698, 1134, 7668, 2383, 20629, 20629, 2996, 18082, 7307, 3907, 24395, 2181, 12510, 20484, 20253, 633, 20846, 1124, 23721, 15031, 15375, 18293, 10858, 15131, 4898, 19310, 12601, 4797, 6661, 398, 20285, 2238, 15660, 12837, 21277, 3949, 22928, 20202, 18490, 23752, 4597, 6897, 1518, 26373, 1291, 19737, 8331, 9313, 3487, 186, 25047, 2477, 2477, 24920, 2950, 4686, 22952, 3150, 8070, 1582, 6655, 24558, 815, 1678, 3895, 1907, 25802, 8217, 17455, 23477, 19855, 22387, 592, 59, 16365, 533, 24916, 18828, 3446, 5366, 25575, 24584, 5227, 23472, 13362, 1275, 2690, 2365, 26351, 16188, 11590, 3252, 19196, 5801, 25233, 1624, 22071, 22071, 24349, 2565, 20098, 19014, 14892, 1422, 8502, 3600, 23410, 8494, 10675, 17694, 6039, 6056, 2967, 8909, 3873, 4911, 24553, 6730, 26290, 4287, 24532, 26065, 7152, 2536, 10658, 23643, 25628, 1440, 6273, 20582, 18565, 24565, 26083, 8692, 24074, 16582, 3646, 797, 25169, 1890, 18876, 10865, 1831]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16787/Network/000088/data.raw.h5,"[14794, 14797, 11186, 11254, 14215, 10179, 12189, 16199, 14232, 11632, 15101, 12608, 12334, 12432, 13229, 13109, 10344, 12600, 11106, 12027, 10737, 15876, 10641, 11377, 13058, 7410, 17166, 11549, 11549, 11053, 19566, 13017, 15, 9382, 18090, 26088, 5898, 14597, 1756, 16454, 19860, 20464, 15464, 17678, 21544, 5499, 19405, 1556, 14932, 6152, 13723, 16923, 19724, 9618, 12173, 21695, 17532, 15002, 6570, 11519, 9813, 19576, 9951, 9651, 24163, 3498, 8844, 9819, 6733, 20613, 21554, 13036, 3350, 18552, 25943, 378, 19008, 6327, 19221, 19291, 19709, 19709, 20642, 1956, 25264, 21687, 21687, 8012, 6705, 20312, 25049, 20328, 7105, 19083, 3563, 17689, 17689, 6677, 9825, 21871, 2787, 23091, 4877, 20727, 10071, 8729, 2659, 6585, 12495, 13987, 15965, 18765, 5120, 8050, 22976, 9103, 186, 20352, 25574, 19317, 12269, 7165, 19061, 23924, 3144, 21267, 11338, 3663, 23848, 4773, 1258, 7763, 3656, 25608, 4691, 10657, 25442, 21402, 1455, 1161, 13527, 3860, 20558, 15533, 4487, 6083, 25178, 4319, 4492, 4492, 17722, 9319, 26018, 2984, 26030, 2769, 4550, 24488, 24571, 8225, 3603, 6509, 5626, 5626, 15051, 5427, 23907, 14622, 2494, 7797, 1462, 21272, 7994, 6488, 9143, 23853, 21929, 805, 25161, 6018, 25659, 25436, 11785, 23882, 19023, 801, 10012, 10012, 1430, 2288, 18170, 7820, 19455, 23436, 2956, 17933, 21676, 14634, 8906, 19903, 13742, 20982, 9800, 20788, 25630, 25630, 22527, 9336, 18596, 8675, 18368, 4700, 2322, 22351, 2960, 22989, 100, 13533, 8919, 18364, 22787, 12865, 12865, 1193, 3652, 17479, 8248, 528, 22543]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16869/Network/000101/data.raw.h5,"[6705, 16013, 13998, 14448, 15886, 9640, 9295, 10512, 14727, 11418, 14154, 13385, 18443, 9521, 11897, 15615, 15219, 19100, 15098, 11089, 8817, 11471, 13768, 17307, 9876, 20249, 4626, 6779, 6779, 17425, 13772, 17332, 12394, 19723, 15965, 10523, 16471, 7916, 20235, 23312, 5494, 24268, 443, 7644, 458, 2821, 1284, 24590, 24830, 226, 24923, 19988, 20054, 21748, 5560, 8945, 22623, 4677, 14882, 7185, 4334, 2459, 400, 16571, 4161, 8169, 13478, 23306, 1309, 18979, 12496, 23300, 14380, 1347, 5996, 7197, 20752, 12171, 607, 15449, 8106, 31, 14453, 13124, 1264, 16850, 10660, 19445, 8641, 8102, 20961, 2037, 7128, 14402, 13744, 7620, 23602, 15934, 25027, 23589, 1124, 3479, 10913, 15912, 11330, 14434, 922, 11936, 17998, 11104, 2335, 19890, 16365, 5576, 17714, 22755, 15083, 5420, 26336, 1174, 356, 20568, 26340, 12223, 18627, 24519, 11565, 25646, 2939, 20101, 4785, 18859, 22395, 5801, 18329, 16430, 12015, 3889, 15465, 8970, 17681, 6465, 22794, 8719, 13729, 20361, 6715, 6083, 10864, 21890, 20763, 6067, 9312, 25422, 11104, 5209, 18397, 3637, 26101, 8655, 22079, 19709, 5791, 21487, 21644, 23019, 7800, 15501, 26097, 21654, 14203, 9810, 18115, 4709, 12636, 7820, 18372, 22106, 21020, 12439, 16817, 10207, 1213, 20372, 17482, 26051, 5838, 746, 1194, 4502, 24745, 981, 21880, 23407, 22979, 3396, 21681, 5156, 7377, 18582, 7565, 783, 11762, 19247, 24735, 981, 116, 15730, 24950, 23851, 14604, 2091, 23858, 23858, 8012]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16666/Network/000090/data.raw.h5,"[16918, 11486, 10544, 14939, 12138, 12138, 12228, 9699, 18419, 9226, 13197, 13049, 10154, 15552, 10392, 12500, 17765, 17579, 11486, 11597, 13500, 16764, 13205, 7247, 13289, 9683, 14049, 10100, 15638, 15837, 17646, 19116, 6144, 8581, 8581, 9864, 17608, 22381, 3332, 18303, 22209, 8598, 13145, 19633, 21070, 4407, 21978, 10726, 5963, 9911, 13754, 20219, 10952, 21355, 22683, 7957, 21739, 18735, 14906, 16330, 13329, 20033, 10958, 14115, 20648, 7444, 13468, 13568, 9517, 15227, 19139, 8761, 19123, 14570, 20669, 5877, 17007, 17129, 13832, 15295, 15362, 2839, 17615, 6411, 9044, 23553, 2860, 19410, 6492, 23776, 3286, 20609, 24403, 3482, 11191, 25943, 2631, 24893, 6768, 23086, 904, 11873, 2152, 3957, 23, 6999, 2246, 5678, 26202, 6962, 23502, 25116, 22468, 15370, 14031, 18872, 2379, 24814, 7652, 15782, 24186, 5100, 1069, 23292, 23515, 12713, 185, 6570, 13494, 23310, 10399, 19324, 7020, 25074, 7087, 5739, 8404, 15539, 21324, 20732, 14217, 1033, 1033, 18878, 23496, 3268, 4815, 12936, 22040, 19298, 6000, 24682, 11517, 7615, 34, 25471, 25471, 21182, 25248, 18863, 22706, 26141, 19536, 24609, 23347, 21504, 1154, 24704, 20193, 15556, 25038, 5337, 26245, 7845, 23506, 3254, 21824, 24032, 6727, 19289, 487, 9594, 792, 2969, 23171, 21435, 4900, 21498, 9995, 17944, 24087, 20173, 11307, 24346, 24079, 3561, 11146, 19870, 22610, 9406, 5114, 23596, 18408, 7796, 7796, 1265, 1265, 20407, 4782, 16668, 25172, 7135, 26127, 9150, 19419, 3348, 5414, 7565, 5005, 20534, 5231, 24159, 6516, 720, 26007, 23924, 14591, 16627, 22714, 24777, 2788, 17249, 17541, 1611, 588, 12403, 1195, 4552, 3810, 7989, 26324, 20331, 18126, 4694, 15944, 23251, 6908, 1022, 158, 19014, 19284, 2536, 6060, 13952, 19267, 6035, 17739, 522, 26057, 21683, 14190, 4312, 6902, 10462, 140, 21451, 730, 2770, 11551, 7813, 16393, 11344, 329, 5390, 1210, 26295, 26295, 22553, 21651, 114, 23875, 4061, 13529, 8911, 24962, 2742, 26283, 17264, 537, 17727, 16610, 8259, 12650, 18582, 17717, 17717, 9110, 6733, 6733, 13981, 3176, 20569, 20569, 22989, 5155, 14859, 4258, 25424, 7148, 10476, 2547, 26272, 4961, 2759, 15071, 3185, 2115, 16140, 9779, 1888, 4308, 20813, 2631, 15572]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16856/Network/000082/data.raw.h5,"[12070, 10540, 10313, 10763, 16052, 14516, 16312, 18092, 16239, 11679, 12520, 9940, 18289, 16650, 8123, 14566, 15384, 13037, 15410, 10821, 15404, 10987, 15791, 11516, 12498, 5956, 10524, 12266, 11654, 16720, 12398, 14113, 15122, 16518, 9043, 13189, 12374, 8584, 12758, 3755, 4171, 21939, 9729, 15210, 12143, 21779, 4620, 17406, 6669, 6741, 13337, 16000, 7757, 8105, 17596, 13549, 11487, 12115, 16571, 12025, 11156, 19181, 11251, 10278, 8100, 18943, 19737, 19737, 15003, 18666, 5995, 10074, 16056, 8402, 14265, 6653, 10392, 20438, 11577, 16976, 9284, 12679, 13469, 18085, 7954, 18528, 20190, 8368, 17544, 17406, 11524, 8117, 17968, 6785, 24003, 15957, 23352, 19361, 9200, 22799, 8733, 15577, 12159, 5469, 24875, 3341, 17465, 21290, 40, 2631, 15548, 9491, 4147, 25323, 21314, 13801, 218, 26169, 22263, 10399, 5537, 8084, 26203, 1728, 4776, 24822, 1722, 4975, 21190, 1572, 11622, 15346, 5570, 4543, 640, 9364, 8868, 8868, 185, 23556, 23963, 3558, 15015, 18890, 2821, 22289, 14, 9388, 9388, 4852, 8094, 10492, 23073, 21350, 23748, 3075, 717, 1309, 20057, 6573, 24153, 9479, 16670, 11732, 12020, 1753, 13789, 23550, 18440, 490, 16788, 23499, 22013, 19744, 12690, 7726, 7376, 19186, 21530, 20955, 5670, 9866, 17549, 10462, 21014, 10186, 24682, 25912, 14693, 16666, 7347, 21816, 1137, 5877, 6989, 21272, 1373, 7871, 16433, 20764, 21183, 15666, 24828, 25782, 21737, 2376, 9813, 14386, 4665, 15485, 26318, 10441, 1693, 14874, 1839, 815, 18777, 291, 15303, 792, 24933, 23901, 4462, 1893, 20989, 20808, 6076, 2483, 24929, 25238, 19065, 318, 575, 14401, 1903, 1818, 20348, 24361, 3359, 24699, 22610, 9625, 25009, 10865, 10865, 14589, 21283, 2362, 3831, 20619, 3793, 827, 20758, 17315, 17315, 4563, 15752, 8453, 1686, 20559, 3585, 3585, 8877, 25897, 2051, 2051, 11353, 17760, 6205, 3645, 3645, 22743, 11301, 8654, 9754, 8506, 12883, 10919, 25831, 17953, 9613, 3889, 3009, 24577, 13282, 563, 15939, 23869, 25812, 22375, 17947, 529, 17450, 10227, 18590, 20388, 11104, 10266, 15921, 21482, 4548, 3001, 26039, 24560, 13290, 10909, 2940, 10262, 11317, 1426, 8917, 26106, 26106, 10676, 22102, 24344, 5590, 7368, 15072, 24761, 21003, 21003, 23439, 23439, 8441, 3856, 7577, 2506, 15508, 23891, 1209, 1209, 8465, 25192, 2971, 16612, 12866, 13527, 12438, 4957, 17933, 21892, 23213, 18143, 114, 12666, 1879, 8688, 17488, 3628, 13971, 22785, 11568, 19246, 23665, 11771, 23202, 24536, 22122, 11749, 4282, 4282, 14836, 23008, 21667, 6718, 22318, 4741, 16384, 18384, 4700, 8260, 13303, 17740, 3837, 22546, 17069, 5848, 24516, 25862, 6924, 26085, 5631, 2982, 11765, 18367, 21639, 2733, 24742, 19058, 2084, 2084, 19021, 2754, 2754, 20333, 25428, 4749, 22957, 19477, 19477, 5162, 19714, 1202, 14857]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16665/Network/000078/data.raw.h5,"[11929, 14118, 12554, 10632, 15340, 15034, 15002, 15002, 14300, 9978, 13391, 13913, 7943, 11033, 15114, 16926, 12428, 13667, 13166, 10564, 15406, 9425, 15564, 13730, 14467, 8864, 16049, 6183, 19952, 10731, 11635, 11635, 18275, 10359, 8298, 17596, 5505, 4173, 17642, 19137, 6784, 15668, 5590, 3480, 7865, 5915, 15656, 18446, 8797, 12057, 5704, 20684, 6616, 13250, 7886, 20252, 20676, 17903, 20226, 8829, 12347, 23500, 11808, 11808, 15649, 16948, 18930, 13144, 11494, 9172, 9936, 9936, 7840, 8140, 18903, 8336, 15243, 5921, 19549, 10483, 17943, 3299, 23101, 20010, 2863, 5462, 2411, 7484, 24639, 21807, 21305, 18653, 18653, 11574, 884, 673, 21803, 22869, 462, 20625, 16881, 26339, 21310, 10904, 22670, 17973, 1542, 9291, 20409, 13906, 17096, 18982, 11163, 16916, 617, 1960, 24447, 12361, 11139, 18454, 12400, 9966, 25554, 5524, 22900, 21772, 4569, 20397, 9, 9, 12687, 26147, 9752, 10034, 875, 609, 24662, 7238, 3711, 25787, 17738, 2250, 16329, 22176, 1950, 1250, 11952, 6340, 16669, 1133, 1287, 22149, 20829, 24032, 24604, 44, 13056, 23491, 940, 25908, 2259, 12668, 6206, 5859, 14233, 6765, 6765, 3562, 8235, 2155, 3221, 507, 26099, 21699, 594, 24728, 17743, 11075, 4462, 3903, 22066, 26314, 14891, 7994, 23600, 13076, 14418, 13135, 21181, 18331, 26040, 23043, 24348, 6665, 19431, 20377, 11560, 26032, 7393, 21046, 26036, 22931, 22352, 1911, 23637, 19297, 1271, 11114, 7418, 3128, 6314, 16552, 14886, 22276, 17209, 24804, 18592, 13982, 3230, 7579, 14222, 14222, 22290, 10422, 3234, 23697, 25006, 26324, 18409, 7355, 19894, 23912, 11307, 19450, 24560, 17687, 117, 1181, 1840, 16587, 14854, 14854, 3860, 25203, 576, 2503, 24748, 1212, 1212, 16420, 7337, 1892, 8028, 15959, 4948, 12452, 22777, 548, 16834, 16375, 18376, 1655, 25857, 10007, 23647, 9118, 22531, 17061, 13719, 8911, 10019, 24545, 6935, 17703, 6271, 6271, 24520, 2760, 2760, 22783, 11767, 26286, 2293, 21471, 17926, 17711, 6283, 7123, 22323, 9366, 19498, 21466, 3610, 4094, 25413, 22569, 13737, 18614, 11783, 18801, 18801, 24771, 12861, 3276, 17631, 22157]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16795/Network/000086/data.raw.h5,"[10340, 8186, 9734, 8815, 16897, 16897, 11695, 13905, 10376, 10381, 10381, 12304, 11213, 15616, 9520, 11402, 12961, 13407, 17352, 16740, 14552, 19566, 18020, 24619, 3529, 20946, 21094, 22646, 18061, 3568, 6178, 4216, 11232, 14072, 9849, 8191, 8527, 6591, 18270, 6168, 6163, 10533, 19181, 7655, 21079, 16716, 20282, 10346, 15207, 12945, 7060, 7241, 15235, 3977, 10169, 12716, 19374, 3523, 14782, 2438, 9182, 3506, 15661, 5745, 5464, 26140, 6342, 15458, 20466, 24853, 20219, 9702, 10525, 17142, 25777, 19556, 26185, 9714, 6455, 21780, 3736, 26396, 6145, 24646, 2467, 6792, 25041, 7195, 7195, 4604, 17771, 1063, 25509, 7003, 26380, 22262, 19109, 23288, 2680, 1477, 18289, 19308, 2895, 2397, 4829, 23757, 24651, 14726, 23310, 6545, 23338, 24190, 9235, 21989, 7088, 25055, 5666, 4683, 6540, 26364, 3053, 23135, 22612, 1510, 909, 24911, 2031, 25050, 18734, 23737, 19535, 10403, 4912, 23733, 1174, 8647, 20626, 11709, 21075, 7313, 7202, 26220, 13367, 1481, 23045, 10505, 19304, 26123, 3343, 18536, 19947, 726, 2486, 25897, 3141, 3225, 24265, 10626, 25802, 1397, 1389, 18420, 9957, 8956, 21498, 68, 1914, 24699, 960, 960, 19312, 20975, 21283, 1027, 22277, 21506, 1162, 12597, 1690, 14908, 25253, 6302, 6302, 22503, 25207, 7123, 4699, 26333, 5345, 2542, 25884, 21492, 4758, 1635, 25796, 301, 5629, 17012, 2994, 22378, 6261, 25872, 2947, 594, 4954, 110, 23461, 7833, 26082, 2085, 748, 21478, 3863, 25419, 103, 7837, 1862, 21262, 4066, 2099, 4940, 1218, 562, 26276, 2299, 4522, 4532, 5827, 6063, 10492, 355, 3431, 17296, 1211, 19499, 4859, 25802, 6168, 3466, 25802]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16861/Network/000094/data.raw.h5,"[15385, 13457, 14264, 12388, 15058, 14783, 11242, 12459, 12911, 12288, 13003, 16492, 16048, 15646, 8318, 11201, 15627, 13703, 13718, 11475, 12568, 12327, 10870, 10737, 13890, 15327, 10084, 11945, 9457, 5295, 11527, 11813, 19777, 3746, 22209, 4823, 20669, 9549, 23747, 21795, 7948, 21975, 10113, 16769, 23516, 10479, 15786, 7477, 15898, 8385, 16545, 14772, 20679, 14956, 17640, 9513, 15198, 9090, 10169, 15771, 10853, 10853, 18546, 10269, 10269, 7489, 7489, 8339, 13714, 10105, 18247, 9711, 21056, 5684, 5478, 23094, 17826, 19801, 20675, 6982, 16570, 6636, 2634, 11822, 1558, 5241, 5518, 6356, 489, 15363, 1975, 24638, 1764, 19371, 11442, 13610, 915, 2584, 25519, 6155, 24903, 18638, 10923, 25763, 6404, 15433, 25333, 3519, 856, 7890, 8517, 24225, 20200, 13111, 19385, 8880, 396, 25367, 20969, 15997, 4456, 5570, 242, 24813, 6462, 24405, 25314, 17111, 5770, 873, 22672, 14033, 2189, 1511, 10823, 11608, 7562, 11238, 3289, 2391, 25074, 11510, 4625, 20953, 19629, 12272, 8610, 23105, 7336, 25694, 7739, 1370, 20395, 10395, 21592, 3769, 5879, 22191, 2245, 11718, 18874, 6991, 4785, 14825, 13291, 4463, 9201, 1921, 20737, 6104, 6104, 183, 21616, 15270, 20612, 1578, 7854, 7854, 18122, 2262, 19293, 1279, 25235, 1178, 8431, 9334, 3687, 3914, 19704, 4665, 372, 16584, 18109, 24353, 3342, 8946, 10656, 3242, 19722, 23463, 1404, 8933, 18770, 1040, 5353, 2791, 18533, 10280, 21417, 2059, 2120, 22368, 17753, 16360, 6269, 6269, 15756, 26117, 53, 4450, 1063, 25446, 8219, 19217, 7982, 10179, 17660, 5608, 6286, 1246, 24687, 25481, 11550, 17452, 20136, 12656, 12656, 1910, 4470, 4470, 20988, 18183, 15704, 4950, 8487, 17678, 26083, 11083, 8261, 19460, 144, 14434, 24348, 3874, 16386, 17463, 20594, 8498, 25207, 4926, 1441, 13722, 2767, 22305, 20380, 17691, 23676, 10638, 15291, 21241, 2490, 3856, 22801, 2310, 14179, 25410, 9982, 2991, 2991, 990, 23213, 7369, 3404, 22093, 17482, 9349, 18573, 2072, 14380, 22089, 15302, 762, 5412, 7593, 10452, 12233, 8018, 17930, 15503, 5412, 18811, 20333, 24111, 9096, 3420, 17052, 1637, 5155, 19933, 12426, 351, 2977, 19676, 2950, 24279, 4052, 4052, 11578, 25173, 17275, 21439, 18378, 2314, 1646, 18581, 1010, 25169, 534, 17269, 3404, 6923]"
/mnt/disk15tb/jonathan/Syngap3_1/221227/16657/Network/000074/data.raw.h5,"[11186, 11926, 13879, 11712, 12875, 11248, 15978, 14783, 15701, 12690, 15098, 13671, 10413, 12305, 13385, 20242, 14051, 10496, 16744, 17510, 15641, 10361, 6398, 11673, 15476, 16678, 12357, 7036, 15630, 19104, 10379, 10448, 14474, 14071, 15490, 13641, 16979, 10778, 16542, 18276, 13446, 20523, 12696, 17380, 16630, 15551, 2616, 6337, 13247, 13999, 19840, 20453, 17369, 5518, 6832, 4376, 15413, 12538, 18524, 10515, 16234, 12712, 13259, 11353, 14944, 9161, 8576, 13817, 22674, 11384, 21117, 21863, 3323, 2625, 24441, 24639, 3373, 11808, 10615, 25474, 19763, 1583, 22207, 1276, 25116, 11478, 8956, 2621, 23304, 23925, 3736, 17392, 2637, 18985, 11771, 21371, 902, 20189, 23404, 23284, 2817, 15153, 14832, 4418, 3141, 17751, 10626, 9844, 25029, 17191, 25272, 15437, 185, 4593, 20862, 11965, 8540, 10694, 23533, 248, 9435, 5275, 1748, 22883, 20406, 2690, 20073, 26229, 7968, 7197, 2785, 25768, 8442, 21758, 22699, 24890, 11294, 847, 23388, 10622, 8269, 19239, 9515, 3704, 934, 605, 23579, 20158, 2380, 23501, 21960, 18424, 8730, 21163, 5802, 20317, 23260, 23864, 6238, 6238, 17910, 13566, 17549, 12022, 19218, 11740, 11740, 3442, 16621, 10033, 23267, 3616, 5432, 23687, 25358, 8526, 21869, 1608, 25135, 11579, 17306, 1224, 22938, 2147, 24481, 3898, 19847, 930, 21417, 18540, 8239, 15692, 20399, 946, 22076, 25438, 1191, 17725, 4728, 2992, 13754, 21695, 809, 290, 3854, 21619, 7403, 11100, 20813, 7176, 22524, 26324, 9782, 5831, 18839, 2105, 19652, 19652, 18169, 119, 6911, 580, 24546, 11970, 2340, 10901, 25395, 2096, 22344, 3218, 24738, 3823, 5406, 1845, 25852, 13291, 21264, 21264, 4753, 23439, 6697, 21678, 25222, 4469, 336, 24319, 6065, 17500, 13525, 24751, 24528, 18156, 11767, 10684, 3167, 9104, 758, 22767, 15732, 6716, 11984, 11563, 10026, 995, 26298, 9980, 26289, 21461, 21461, 7370, 1001, 1652, 22102, 8896, 12650, 18384, 18384, 983, 18812, 4062, 12009, 16384, 19468, 549, 18569, 18569, 14400, 7790, 23641, 22761, 19261, 24731, 23837, 4490, 22538, 6262, 1890, 12650, 3964]"
