,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
0,1,2.56,2175,2.19,0.27,5.96,N/A,23.26,0.86,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
1,1,4.53,2088,2.1,0.25,5.99,2.25,18.39,1.06,2024-12-16,M06804,1,000016,MED,#55aaff,15.11.2024,0,Run #000016,32
2,1,6.78,2349,2.36,0.25,6.75,2.7,15.62,1.04,2024-12-16,M06804,1,000016,HIGH,#55aaff,15.11.2024,0,Run #000016,32
3,1,9.48,2528,2.54,0.25,7.03,2.63,16.03,0.96,2024-12-16,M06804,1,000016,LOW,#55aaff,15.11.2024,0,Run #000016,32
4,1,12.11,1512,1.52,0.25,4.31,1.77,19.15,0.8,2024-12-16,M06804,1,000016,HIGH,#ffaaff,15.11.2024,1,Run #000016,32
5,1,13.88,2470,2.48,0.24,7.02,2.74,14.62,0.87,2024-12-16,M06804,1,000016,LOW,#ffaaff,15.11.2024,1,Run #000016,32
6,1,16.62,1466,1.47,0.25,4.16,1.79,21.19,0.96,2024-12-16,M06804,1,000016,MED,#ffaaff,15.11.2024,1,Run #000016,32
7,1,18.41,2616,2.63,0.25,7.4,3.22,16.76,1.19,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
8,1,21.63,2496,2.51,0.26,7.22,2.69,16.61,1.32,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
9,1,24.32,2361,2.38,0.25,6.54,2.31,18.89,0.86,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
10,1,26.63,2467,2.48,0.25,6.96,2.23,15.57,0.98,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
11,1,28.86,2368,2.38,0.25,6.58,2.26,15.31,0.95,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
12,1,31.12,2359,2.37,0.25,6.69,1.87,17.15,1.04,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
13,1,32.99,2218,2.23,0.24,6.24,2.29,16.2,0.87,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
14,1,35.28,2089,2.1,0.24,5.86,2.14,16.59,0.82,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
15,1,37.42,2317,2.33,0.25,6.47,1.45,16.69,0.87,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
16,1,38.87,1866,1.88,0.24,5.27,2.61,15.87,0.82,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
17,1,41.48,2736,2.75,0.24,7.86,2.65,13.77,1.08,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
18,1,44.13,1611,1.62,0.25,4.5,1.43,18.81,0.81,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
19,1,45.56,1863,1.87,0.25,5.16,1.45,22.73,0.81,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
20,1,47.01,2964,2.98,0.25,8.52,2.52,17.1,1.16,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
21,1,49.53,1999,2.01,0.25,5.72,2.55,16.01,0.96,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
22,1,52.08,2020,2.03,0.25,5.64,2.32,18.13,0.83,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
23,1,54.4,2490,2.51,0.24,7.06,2.63,13.37,0.91,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
24,1,57.03,2277,2.29,0.25,6.3,2.47,15.84,0.89,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
25,1,59.5,2530,2.55,0.25,7.13,2.24,14.64,1.02,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
26,1,61.74,1724,1.73,0.25,4.84,2.33,16.89,0.93,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
27,1,64.07,2277,2.29,0.25,6.5,2.57,17.22,0.98,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
28,1,66.64,2190,2.2,0.32,5.22,1.96,33.46,1.24,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
29,1,68.6,2359,2.37,0.25,6.72,2.51,17.86,1.04,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
30,1,71.11,2151,2.16,0.24,6.06,2.57,16.46,0.92,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
31,1,73.68,2371,2.39,0.25,6.84,2.53,15.66,0.99,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
32,1,76.21,2533,2.55,0.25,7.06,2.58,15.06,1.0,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
33,1,78.79,2908,2.93,0.37,7.8,2.88,28.93,1.24,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
34,1,81.67,2158,2.17,0.25,6.16,2.34,17.12,1.05,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
35,1,84.01,2338,2.35,0.25,6.6,2.59,16.49,0.98,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
36,1,86.6,2305,2.32,0.25,6.5,2.28,16.8,0.99,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
37,1,88.88,2057,2.07,0.25,5.7,2.36,22.92,0.95,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
38,1,91.24,2347,2.36,0.24,6.57,2.5,15.78,0.94,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
39,1,93.74,1917,1.93,0.25,5.43,1.87,15.04,0.87,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
40,1,95.61,1961,1.97,0.25,5.38,2.03,18.86,0.9,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
41,1,97.64,2396,2.41,0.25,6.65,2.09,14.61,1.0,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
42,1,99.73,2073,2.09,0.24,5.85,2.29,15.0,0.74,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
43,1,102.02,1755,1.77,0.26,5.04,1.83,24.56,0.88,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
44,1,103.85,2270,2.28,0.25,6.35,2.54,15.0,0.96,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
45,1,106.39,2117,2.13,0.25,5.87,2.23,17.2,0.94,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
46,1,108.62,2195,2.21,0.25,6.16,1.94,18.41,0.96,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
47,1,110.56,1766,1.78,0.24,4.95,2.65,15.8,1.07,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
48,1,113.21,2529,2.54,0.24,7.17,2.66,14.76,1.03,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
49,1,115.87,1895,1.91,0.24,5.34,2.21,17.27,0.75,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
50,1,118.08,2534,2.55,0.25,7.3,2.08,16.12,1.08,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
51,1,120.16,1885,1.9,0.25,5.26,2.38,16.35,0.81,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
52,1,122.54,2084,2.1,0.25,5.79,1.96,18.41,0.93,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
53,1,124.5,2389,2.4,0.25,6.58,2.34,18.69,0.94,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
54,1,126.84,2063,2.08,0.25,5.89,2.44,16.48,0.89,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
55,1,129.28,2268,2.28,0.25,6.37,2.51,16.42,0.93,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
56,1,131.79,1960,1.97,0.25,5.45,2.01,17.42,0.96,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
57,1,133.8,2419,2.43,0.25,6.85,2.49,14.18,1.22,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
58,1,136.29,2431,2.45,0.25,6.75,2.27,16.81,0.91,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
59,1,138.56,2097,2.11,0.24,5.89,1.07,16.36,0.9,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
60,1,139.63,2170,2.18,0.3,5.89,1.58,25.75,1.26,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
61,1,141.21,2029,2.04,0.25,5.62,2.16,20.18,1.03,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
62,1,143.37,2159,2.17,0.24,6.05,1.94,17.77,0.82,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
63,1,145.31,1991,2.0,0.25,5.68,3.34,17.83,1.49,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
64,1,148.65,2444,2.46,0.26,6.8,2.1,22.7,0.99,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
65,1,150.75,2362,2.38,0.25,6.61,2.14,17.5,0.91,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
66,1,152.89,2486,2.5,0.25,6.93,2.37,18.76,0.94,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
67,1,155.26,1999,2.01,0.25,5.75,2.44,20.03,1.21,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
68,1,157.7,2744,2.76,0.27,7.72,2.57,21.2,1.02,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
69,1,160.27,2604,2.62,0.26,7.48,2.3,17.8,1.09,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
70,1,162.57,2400,2.41,0.24,6.76,1.83,16.13,0.87,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
71,1,164.4,1901,1.91,0.24,5.31,1.7,17.74,0.86,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
72,1,166.1,2408,2.42,0.25,6.74,2.21,15.98,1.0,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
73,1,168.31,2281,2.29,0.25,6.45,2.03,18.33,1.04,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
74,1,170.34,2302,2.32,0.24,6.46,2.41,14.61,0.88,2024-12-16,M06804,1,000016,N/A,N/A,N/A,N/A,N/A,N/A
