,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,Unnamed: 51,Control,Assay Tag,DIV,Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile
17,2024-12-16,M06804,6,2,MED,#ffaaff,15.11.2024,1,Run #000002,32,6,0.24,52.0,2637.8,1393.25,0.53,2175.0,1603.0,4093.0,2.68,1.41,0.53,2.21,1.63,4.16,0.53,0.08,0.16,0.52,0.49,0.56,3.57,1.72,0.48,2.97,2.26,5.49,4.21,2.61,0.62,3.45,1.8,7.58,35.23,58.85,1.67,17.9,4.9,77.2,421.31,751.23,1.78,91.1,9.0,1447.32
16,2024-12-16,M06804,5,2,LOW,#ffaaff,15.11.2024,1,Run #000002,32,5,0.22,49.42,2800.09,1603.21,0.57,2397.0,1615.6,3836.0,2.82,1.62,0.57,2.42,1.63,3.86,0.55,0.16,0.29,0.52,0.48,0.64,3.63,1.44,0.4,3.3,2.27,5.1,4.44,3.09,0.7,3.71,1.69,7.7,49.91,78.42,1.57,23.3,5.4,115.9,493.59,862.47,1.75,119.3,7.4,1450.8
15,2024-12-16,M06804,4,2,HIGH,#ffaaff,15.11.2024,1,Run #000002,32,4,0.29,80.71,2245.31,775.76,0.35,2087.0,1427.4,3480.4,2.26,0.78,0.35,2.1,1.44,3.5,0.52,0.05,0.09,0.51,0.51,0.58,3.0,1.03,0.34,2.79,1.92,4.63,3.46,1.2,0.35,3.3,1.95,5.07,21.27,38.78,1.82,9.6,3.2,47.8,193.19,358.68,1.86,62.0,4.7,495.04
14,2024-12-16,M06804,3,2,LOW,#55aaff,15.11.2024,0,Run #000002,32,3,0.2,31.04,1507.23,549.22,0.36,1383.0,914.0,2141.0,1.59,0.58,0.36,1.46,0.96,2.26,0.53,0.05,0.1,0.52,0.49,0.58,2.31,0.75,0.33,2.12,1.53,3.18,4.95,2.36,0.48,4.4,2.38,8.02,39.57,55.88,1.41,18.3,4.3,105.2,290.31,554.54,1.91,115.0,29.3,680.3
13,2024-12-16,M06804,2,2,HIGH,#55aaff,15.11.2024,0,Run #000002,32,2,0.34,59.02,4368.57,2914.02,0.67,3744.0,2993.9,5466.2,4.45,2.97,0.67,3.82,3.05,5.57,0.56,0.21,0.37,0.53,0.47,0.64,5.45,1.61,0.3,5.06,4.16,7.23,2.98,1.72,0.58,2.32,1.56,5.4,43.13,72.8,1.69,17.7,4.9,109.6,256.71,484.51,1.89,44.7,5.6,863.6
12,2024-12-16,M06804,1,2,MED,#55aaff,15.11.2024,0,Run #000002,32,1,0.2,70.85,2758.3,2405.26,0.87,2444.0,2050.0,3009.0,2.76,2.4,0.87,2.44,2.05,3.01,0.63,0.36,0.57,0.54,0.52,0.71,3.41,1.01,0.3,3.31,2.54,3.98,4.98,4.36,0.88,4.29,2.35,6.94,39.97,87.34,2.18,16.9,4.9,91.7,303.52,1329.06,4.38,53.7,12.8,442.53
25,2024-12-16,M06804,2,5,HIGH,#55aaff,15.11.2024,0,Run #000005,32,2,0.53,55.04,3369.92,1204.12,0.36,3127.0,2161.0,4851.0,3.43,1.22,0.36,3.18,2.2,4.93,0.34,0.11,0.33,0.3,0.25,0.48,8.52,1.95,0.23,8.42,6.04,11.15,1.87,0.67,0.36,1.72,1.16,2.8,37.64,53.34,1.42,18.4,5.0,93.9,173.29,293.52,1.69,46.3,6.1,537.3
26,2024-12-16,M06804,3,5,LOW,#55aaff,15.11.2024,0,Run #000005,32,3,0.34,23.55,945.45,432.13,0.46,796.5,568.2,1520.1,0.98,0.45,0.46,0.82,0.59,1.58,0.27,0.06,0.24,0.25,0.23,0.3,2.96,1.22,0.41,2.49,1.96,4.62,2.94,1.61,0.55,2.67,1.3,4.88,39.48,46.96,1.19,23.6,4.4,94.8,192.91,359.62,1.86,90.1,28.3,416.6
27,2024-12-16,M06804,4,5,HIGH,#ffaaff,15.11.2024,1,Run #000005,32,4,0.34,79.56,2103.88,772.72,0.37,2072.0,1105.0,3045.8,2.1,0.77,0.37,2.07,1.1,3.04,0.25,0.02,0.09,0.25,0.24,0.28,5.81,2.07,0.36,5.76,3.08,8.42,2.92,1.05,0.36,2.72,1.81,4.5,19.37,26.53,1.37,10.2,3.3,45.0,208.77,421.7,2.02,56.7,6.4,527.9
29,2024-12-16,M06804,6,5,MED,#ffaaff,15.11.2024,1,Run #000005,32,6,0.36,56.54,1770.03,921.46,0.52,1558.5,915.1,2855.6,1.77,0.92,0.52,1.56,0.91,2.85,0.26,0.04,0.15,0.25,0.24,0.29,4.85,2.32,0.48,4.3,2.59,7.91,2.76,1.3,0.47,2.42,1.44,4.44,26.95,32.08,1.19,16.1,4.6,62.6,305.02,553.58,1.81,98.3,9.5,859.5
28,2024-12-16,M06804,5,5,LOW,#ffaaff,15.11.2024,1,Run #000005,32,5,0.35,52.26,2101.05,1054.04,0.5,1874.0,1084.4,3266.0,2.1,1.05,0.5,1.88,1.09,3.27,0.29,0.07,0.24,0.27,0.25,0.34,5.52,2.28,0.41,5.05,3.04,8.68,2.85,1.41,0.5,2.59,1.39,4.75,37.56,46.72,1.24,21.6,5.1,88.1,337.56,560.59,1.66,90.0,7.4,1011.1
24,2024-12-16,M06804,1,5,MED,#55aaff,15.11.2024,0,Run #000005,32,1,0.48,84.0,2179.47,452.74,0.21,2176.0,1695.8,2600.2,2.19,0.46,0.21,2.19,1.7,2.62,0.27,0.06,0.23,0.25,0.24,0.31,5.87,1.01,0.17,5.95,4.59,7.0,2.09,0.58,0.28,2.01,1.43,2.8,24.5,41.76,1.7,14.0,5.6,45.7,117.5,274.46,2.34,32.7,8.7,255.5
