,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
0,1,1.31,1094,1.11,0.26,3.2,N/A,37.83,0.91,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
1,1,3.24,2637,2.67,0.25,7.43,3.96,23.61,1.01,2024-12-26,M06792,1,000067,HET_80K,#f7c19b,25.11.2024,0,Run #000067,32
2,1,7.2,1964,1.99,0.26,5.5,3.24,27.01,0.92,2024-12-26,M06792,1,000067,HET_80K,#f7c19b,25.11.2024,0,Run #000067,32
3,1,10.44,2314,2.34,0.25,6.55,4.31,20.63,0.9,2024-12-26,M06792,1,000067,WT_100K,#8cdee2,25.11.2024,0,Run #000067,32
4,1,14.75,1445,1.46,0.29,3.82,1.45,42.07,0.98,2024-12-26,M06792,1,000067,WT_100K,#8cdee2,25.11.2024,0,Run #000067,32
5,1,16.2,1319,1.33,0.25,3.79,2.66,27.45,0.84,2024-12-26,M06792,1,000067,WT_60K,#bdccff,25.11.2024,0,Run #000067,32
6,1,18.86,2026,2.05,0.28,5.74,3.0,28.69,0.98,2024-12-26,M06792,1,000067,WT_60K,#bdccff,25.11.2024,0,Run #000067,32
7,1,21.86,2871,2.9,0.26,8.22,3.84,22.87,1.02,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
8,1,25.7,2172,2.2,0.27,6.24,2.29,28.68,1.0,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
9,1,27.99,1505,1.52,0.26,4.29,2.75,36.01,0.84,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
10,1,30.74,1446,1.46,0.24,4.19,1.7,29.15,0.86,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
11,1,32.44,2901,2.93,0.25,8.28,4.16,20.27,0.98,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
12,1,36.6,1474,1.49,0.27,4.12,2.65,34.03,0.85,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
13,1,39.25,2378,2.4,0.26,6.87,3.95,23.51,0.94,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
14,1,43.2,1324,1.34,0.39,3.01,1.67,56.48,1.14,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
15,1,44.87,1491,1.51,0.26,4.18,2.44,32.59,0.91,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
16,1,47.31,2385,2.41,0.26,6.69,4.28,26.09,0.95,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
17,1,51.59,1608,1.63,0.27,4.41,1.14,33.83,0.87,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
18,1,52.73,3611,3.65,0.25,10.29,5.53,16.22,0.99,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
19,1,58.26,3314,3.35,0.25,9.33,3.47,18.32,0.97,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
20,1,61.73,995,1.01,0.25,2.9,2.18,33.48,0.84,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
21,1,63.91,1804,1.82,0.26,5.04,1.08,31.1,0.88,2024-12-26,M06792,1,000067,N/A,N/A,N/A,N/A,N/A,N/A
