,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,Unnamed: 51,Control,Assay Tag,DIV,Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile
0,2024-12-26,M06792,1,64,HET_80K,#f7c19b,25.11.2024,0,Run #000064,31,1,0.3,45.49,2220.3,984.93,0.44,1819.0,1157.6,3694.0,2.26,1.0,0.44,1.85,1.18,3.76,0.26,0.03,0.11,0.25,0.25,0.28,6.33,2.79,0.44,5.15,3.3,10.48,3.26,1.79,0.55,2.83,1.26,5.72,23.88,26.74,1.12,15.0,5.2,52.9,199.49,382.89,1.92,57.1,16.2,544.5
1,2024-12-26,M06792,2,64,HET_80K,#f7c19b,25.11.2024,0,Run #000064,31,2,0.39,61.1,2479.33,1070.23,0.43,2123.5,1441.5,4098.5,2.52,1.09,0.43,2.16,1.46,4.17,0.27,0.02,0.07,0.27,0.25,0.3,6.94,2.97,0.43,5.99,3.96,11.67,2.54,1.0,0.4,2.16,1.73,3.99,26.53,27.43,1.03,17.2,6.4,58.6,185.55,323.96,1.75,71.8,14.4,447.7
2,2024-12-26,M06792,3,64,WT_100K,#8cdee2,25.11.2024,0,Run #000064,31,3,0.25,30.63,1892.01,969.98,0.51,1536.0,978.2,3565.6,1.94,1.0,0.51,1.58,1.0,3.66,0.26,0.04,0.15,0.25,0.24,0.29,5.49,2.75,0.5,4.53,2.97,9.97,3.92,2.32,0.59,3.41,1.25,7.46,29.35,34.32,1.17,17.1,5.4,69.4,220.06,411.14,1.87,84.4,29.3,503.9
3,2024-12-26,M06792,4,64,WT_100K,#8cdee2,25.11.2024,0,Run #000064,31,4,0.36,30.98,2361.61,886.74,0.38,2325.0,1251.4,3402.5,2.42,0.91,0.38,2.38,1.28,3.49,0.26,0.04,0.14,0.25,0.23,0.28,6.95,2.23,0.32,6.92,4.12,9.99,2.76,1.26,0.46,2.55,1.26,4.44,23.67,31.7,1.34,11.4,3.7,61.8,170.68,256.73,1.5,82.4,12.2,422.8
4,2024-12-26,M06792,5,64,WT_60K,#bdccff,25.11.2024,0,Run #000064,31,5,0.46,39.78,2285.88,668.08,0.29,2212.0,1429.4,3278.1,2.37,0.69,0.29,2.29,1.48,3.39,0.27,0.05,0.18,0.26,0.24,0.31,6.67,1.84,0.28,6.48,4.38,9.54,2.16,0.97,0.45,1.85,1.18,3.59,23.35,32.3,1.38,12.0,3.8,56.1,137.83,232.23,1.68,49.7,8.4,401.6
5,2024-12-26,M06792,6,64,WT_60K,#bdccff,25.11.2024,0,Run #000064,31,6,0.41,47.54,2537.26,872.77,0.34,2510.0,1406.2,3593.4,2.56,0.88,0.34,2.53,1.42,3.62,0.27,0.04,0.16,0.26,0.25,0.3,7.09,2.28,0.32,7.12,4.03,10.08,2.46,0.99,0.4,2.36,1.23,3.97,24.25,32.85,1.35,12.9,4.7,56.1,158.85,268.69,1.69,54.0,10.4,460.0
11,2024-12-26,M06792,6,67,WT_60K,#bdccff,25.11.2024,0,Run #000067,32,6,0.49,49.47,2673.01,794.63,0.3,2637.5,1744.4,3502.2,2.69,0.8,0.3,2.65,1.75,3.52,0.28,0.06,0.23,0.26,0.25,0.32,7.34,1.7,0.23,7.37,5.03,9.58,2.02,0.72,0.36,1.89,1.15,3.06,26.35,37.17,1.41,14.3,5.0,58.6,135.36,222.68,1.65,49.0,8.7,403.8
10,2024-12-26,M06792,5,67,WT_60K,#bdccff,25.11.2024,0,Run #000067,32,5,0.51,39.69,2399.24,1362.35,0.57,2129.0,1602.8,3075.0,2.46,1.39,0.57,2.18,1.64,3.15,0.29,0.13,0.44,0.25,0.23,0.34,6.41,1.51,0.24,6.13,4.83,8.22,1.95,0.79,0.41,1.78,1.17,2.96,28.51,47.04,1.65,14.1,4.6,64.1,129.93,224.39,1.73,37.2,7.2,418.1
9,2024-12-26,M06792,4,67,WT_100K,#8cdee2,25.11.2024,0,Run #000067,32,4,0.42,32.64,2797.14,1504.43,0.54,2285.0,1675.3,4575.3,2.85,1.53,0.54,2.33,1.71,4.66,0.31,0.13,0.43,0.26,0.22,0.48,7.13,1.85,0.26,6.59,5.28,10.08,2.36,1.19,0.5,2.01,1.15,3.98,39.67,53.92,1.36,19.4,5.3,99.7,159.9,240.1,1.5,77.6,10.2,400.2
8,2024-12-26,M06792,3,67,WT_100K,#8cdee2,25.11.2024,0,Run #000067,32,3,0.33,33.95,1653.94,707.0,0.43,1413.0,949.0,2779.6,1.7,0.73,0.43,1.45,0.98,2.85,0.26,0.03,0.1,0.26,0.24,0.29,4.82,1.92,0.4,4.18,2.88,7.92,3.07,1.52,0.5,2.77,1.36,5.0,31.91,33.53,1.05,20.0,6.1,74.6,212.04,334.75,1.58,102.0,24.4,492.4
7,2024-12-26,M06792,2,67,HET_80K,#f7c19b,25.11.2024,0,Run #000067,32,2,0.46,55.09,2294.57,889.32,0.39,2056.5,1323.9,3666.5,2.33,0.9,0.39,2.09,1.34,3.72,0.28,0.03,0.1,0.28,0.26,0.31,6.39,2.45,0.38,5.69,3.75,10.36,2.16,0.92,0.43,1.83,1.35,3.49,28.91,30.02,1.04,18.8,7.2,63.3,163.82,282.88,1.73,63.3,12.8,415.4
6,2024-12-26,M06792,1,67,HET_80K,#f7c19b,25.11.2024,0,Run #000067,32,1,0.4,46.42,2029.08,657.01,0.32,1886.0,1306.8,3062.6,2.05,0.66,0.32,1.91,1.32,3.09,0.27,0.03,0.11,0.26,0.25,0.29,5.73,1.82,0.32,5.33,3.73,8.63,2.5,1.15,0.46,2.22,1.26,4.07,27.2,28.6,1.05,17.9,6.5,59.1,166.5,286.17,1.72,60.8,15.8,444.5
12,2024-12-26,M06792,1,69,HET_80K,#f7c19b,25.11.2024,0,Run #000069,32,1,0.43,47.69,2086.21,606.52,0.29,1984.0,1381.0,2901.6,2.11,0.61,0.29,2.01,1.4,2.94,0.27,0.03,0.11,0.26,0.25,0.29,5.89,1.65,0.28,5.59,3.97,8.22,2.32,1.07,0.46,2.06,1.2,3.83,27.78,28.82,1.04,18.2,6.8,60.6,156.97,263.3,1.68,62.5,15.5,410.4
13,2024-12-26,M06792,2,69,HET_80K,#f7c19b,25.11.2024,0,Run #000069,32,2,0.48,53.23,2344.34,859.75,0.37,2131.0,1385.2,3639.2,2.39,0.88,0.37,2.17,1.41,3.71,0.28,0.04,0.13,0.28,0.26,0.31,6.54,2.3,0.35,5.97,3.9,10.23,2.1,0.9,0.43,1.8,1.23,3.32,29.26,31.6,1.08,18.7,7.2,64.1,156.72,263.29,1.68,64.3,12.3,402.0
14,2024-12-26,M06792,3,69,WT_100K,#8cdee2,25.11.2024,0,Run #000069,32,3,0.47,40.97,1834.5,605.35,0.33,1683.5,1240.5,2702.6,1.88,0.62,0.33,1.72,1.27,2.76,0.28,0.05,0.17,0.26,0.24,0.32,5.25,1.54,0.29,4.86,3.67,7.58,2.12,0.92,0.43,1.9,1.19,3.34,33.6,38.04,1.13,20.3,6.3,78.2,159.62,225.95,1.42,85.1,17.5,381.3
15,2024-12-26,M06792,4,69,WT_100K,#8cdee2,25.11.2024,0,Run #000069,32,4,0.39,33.27,3464.92,1941.26,0.56,2711.0,1891.0,6037.0,3.56,2.0,0.56,2.79,1.94,6.2,0.38,0.18,0.48,0.31,0.23,0.62,7.87,2.02,0.26,7.24,5.77,10.97,2.58,1.31,0.51,2.28,1.26,4.36,45.58,61.03,1.34,22.5,5.9,115.3,159.29,252.52,1.59,73.4,9.6,405.9
16,2024-12-26,M06792,5,69,WT_60K,#bdccff,25.11.2024,0,Run #000069,32,5,0.55,39.45,2367.05,1026.56,0.43,2157.0,1638.0,3193.4,2.44,1.06,0.43,2.22,1.69,3.29,0.28,0.11,0.4,0.25,0.22,0.36,6.53,1.32,0.2,6.3,5.01,8.4,1.8,0.65,0.36,1.66,1.12,2.69,28.47,46.38,1.63,13.8,4.7,63.7,120.8,200.81,1.66,34.6,6.9,399.3
17,2024-12-26,M06792,6,69,WT_60K,#bdccff,25.11.2024,0,Run #000069,32,6,0.48,49.77,2702.65,753.67,0.28,2675.0,1775.3,3451.3,2.72,0.76,0.28,2.7,1.79,3.48,0.27,0.05,0.19,0.26,0.25,0.31,7.48,1.62,0.22,7.55,5.14,9.47,2.1,0.78,0.37,1.94,1.21,3.2,25.2,34.16,1.36,13.9,4.9,56.6,137.14,236.26,1.72,47.9,8.8,405.8
