,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
0,1,1.66,1427,1.59,0.26,4.34,N/A,28.59,0.98,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
1,1,3.24,1958,2.18,0.26,5.98,1.48,24.63,0.95,2024-12-27,M06792,1,000110,HET_80K,#f7c19b,25.11.2024,0,Run #000110,33
2,1,4.72,1829,2.04,0.25,5.82,2.24,18.26,0.95,2024-12-27,M06792,1,000110,HET_80K,#f7c19b,25.11.2024,0,Run #000110,33
3,1,6.96,1303,1.45,0.28,3.97,1.5,30.29,0.87,2024-12-27,M06792,1,000110,WT_100K,#8cdee2,25.11.2024,0,Run #000110,33
4,1,8.46,1471,1.64,0.26,4.58,2.87,25.78,1.14,2024-12-27,M06792,1,000110,WT_100K,#8cdee2,25.11.2024,0,Run #000110,33
5,1,11.33,1534,1.71,0.26,4.68,1.9,27.13,0.92,2024-12-27,M06792,1,000110,WT_60K,#bdccff,25.11.2024,0,Run #000110,33
6,1,13.23,1721,1.92,0.26,5.32,2.88,23.31,1.07,2024-12-27,M06792,1,000110,WT_60K,#bdccff,25.11.2024,0,Run #000110,33
7,1,16.11,1477,1.64,0.27,4.49,1.63,29.92,0.87,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
8,1,17.74,1704,1.9,0.26,5.39,1.91,22.32,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
9,1,19.65,1904,2.12,0.26,5.89,2.88,23.9,0.99,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
10,1,22.53,2047,2.28,0.27,6.18,2.19,24.0,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
11,1,24.72,1425,1.59,0.26,4.36,1.85,27.9,0.87,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
12,1,26.57,1725,1.92,0.26,5.32,2.7,25.25,0.98,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
13,1,29.27,1650,1.84,0.25,5.2,3.4,17.24,1.08,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
14,1,32.67,1483,1.65,0.26,4.53,1.33,28.78,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
15,1,34.0,1707,1.9,0.25,5.29,3.18,22.14,1.0,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
16,1,37.18,1545,1.72,0.29,4.79,1.6,28.12,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
17,1,38.78,1840,2.05,0.25,5.76,2.3,19.89,1.03,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
18,1,41.08,2018,2.25,0.26,6.21,2.31,22.06,1.11,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
19,1,43.39,1521,1.69,0.26,4.72,1.31,27.47,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
20,1,44.7,1696,1.89,0.25,5.28,2.13,21.18,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
21,1,46.83,1710,1.9,0.25,5.39,2.79,20.23,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
22,1,49.62,1409,1.57,0.27,4.28,1.26,31.73,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
23,1,50.88,1493,1.66,0.26,4.62,1.63,26.79,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
24,1,52.51,1955,2.18,0.26,6.02,1.76,24.64,0.98,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
25,1,54.27,1558,1.73,0.26,4.83,1.74,26.61,0.9,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
26,1,56.01,1929,2.15,0.26,5.97,3.34,23.61,1.1,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
27,1,59.35,1942,2.16,0.25,5.99,2.73,21.44,1.03,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
28,1,62.08,1524,1.7,0.27,4.76,1.91,26.48,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
29,1,63.99,1846,2.06,0.25,5.76,3.07,20.49,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
30,1,67.06,1705,1.9,0.25,5.18,3.28,25.95,0.98,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
31,1,70.34,1778,1.98,0.25,5.48,2.45,20.31,1.0,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
32,1,72.79,1589,1.77,0.26,4.82,2.47,27.76,0.9,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
33,1,75.26,1768,1.97,0.25,5.55,2.61,18.31,1.01,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
34,1,77.87,1498,1.67,0.27,4.57,1.8,31.05,0.89,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
35,1,79.67,1796,2.0,0.26,5.55,1.68,24.07,1.05,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
36,1,81.35,1569,1.75,0.27,5.01,2.66,21.42,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
37,1,84.01,1790,1.99,0.25,5.61,2.16,19.42,1.07,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
38,1,86.17,1520,1.69,0.25,4.64,1.59,26.14,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
39,1,87.76,1471,1.64,0.25,4.56,1.43,21.41,0.97,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
40,1,89.19,1577,1.76,0.25,5.01,1.92,17.93,1.02,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
41,1,91.11,1418,1.58,0.27,4.26,1.76,32.52,0.87,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
42,1,92.87,1929,2.15,0.25,6.08,1.97,16.31,1.04,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
43,1,94.84,1267,1.41,0.26,3.81,1.43,31.65,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
44,1,96.27,1561,1.74,0.25,4.93,2.61,19.79,1.06,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
45,1,98.88,1611,1.79,0.26,5.12,2.56,23.12,1.01,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
46,1,101.44,1603,1.79,0.26,4.99,1.84,25.72,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
47,1,103.28,1706,1.9,0.26,5.2,1.68,26.26,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
48,1,104.96,1852,2.06,0.25,5.82,2.3,21.27,1.01,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
49,1,107.26,1616,1.8,0.26,5.08,1.32,23.48,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
50,1,108.58,1699,1.89,0.25,5.28,2.63,21.04,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
51,1,111.21,1831,2.04,0.26,5.65,3.11,23.14,0.97,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
52,1,114.32,1541,1.72,0.25,4.78,1.48,22.72,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
53,1,115.8,1748,1.95,0.26,5.16,2.35,29.54,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
54,1,118.15,1476,1.64,0.29,4.59,1.75,27.3,0.9,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
55,1,119.9,2013,2.24,0.26,6.18,2.22,22.44,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
56,1,122.12,1430,1.59,0.26,4.4,1.95,30.73,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
57,1,124.07,1843,2.05,0.26,5.86,2.53,20.78,1.02,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
58,1,126.6,1685,1.88,0.27,5.33,2.16,27.7,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
59,1,128.76,1653,1.84,0.27,5.12,3.4,28.56,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
60,1,132.16,1134,1.26,0.27,3.49,1.43,32.5,0.94,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
61,1,133.59,1748,1.95,0.25,5.54,3.12,18.46,1.32,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
62,1,136.71,1524,1.7,0.26,4.7,1.54,29.38,0.89,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
63,1,138.25,2133,2.38,0.26,6.43,2.11,23.53,1.06,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
64,1,140.36,1734,1.93,0.27,5.36,1.79,28.83,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
65,1,142.15,1774,1.98,0.26,5.52,1.74,24.94,0.99,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
66,1,143.89,1579,1.76,0.27,4.65,1.35,32.4,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
67,1,145.24,1698,1.89,0.25,5.21,2.33,26.64,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
68,1,147.57,1269,1.41,0.29,3.78,1.8,37.68,0.92,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
69,1,149.37,1855,2.07,0.25,5.88,2.67,15.36,1.08,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
70,1,152.04,1643,1.83,0.26,5.14,2.2,23.2,0.94,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
71,1,154.24,1956,2.18,0.27,5.98,1.59,26.21,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
72,1,155.83,1865,2.08,0.25,5.9,3.12,14.86,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
73,1,158.95,1819,2.03,0.27,5.55,1.95,30.6,0.98,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
74,1,160.9,1603,1.79,0.28,4.86,1.59,31.8,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
75,1,162.49,1583,1.76,0.26,4.82,2.72,29.78,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
76,1,165.21,2027,2.26,0.27,6.33,2.15,24.4,1.08,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
77,1,167.36,1226,1.37,0.26,3.75,1.68,31.57,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
78,1,169.04,1647,1.83,0.26,5.14,1.72,24.6,0.99,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
79,1,170.76,1924,2.14,0.26,6.0,3.08,23.3,1.05,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
80,1,173.84,1662,1.85,0.26,5.11,2.59,26.0,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
81,1,176.43,1663,1.85,0.27,5.08,2.18,29.26,0.94,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
82,1,178.61,1875,2.09,0.25,5.95,1.94,19.66,0.99,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
83,1,180.55,1594,1.78,0.27,5.16,1.56,26.47,0.87,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
84,1,182.11,1761,1.96,0.25,5.54,2.38,21.44,1.08,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
85,1,184.49,1501,1.67,0.25,4.75,2.38,23.66,0.94,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
86,1,186.87,1482,1.65,0.25,4.58,2.09,24.16,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
87,1,188.96,1244,1.39,0.26,3.89,1.62,28.04,0.89,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
88,1,190.58,1557,1.73,0.26,4.89,2.35,22.94,1.05,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
89,1,192.93,1467,1.63,0.28,4.51,1.82,32.34,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
90,1,194.75,1546,1.72,0.25,4.9,3.04,22.01,1.09,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
91,1,197.79,1706,1.9,0.26,5.36,1.56,25.86,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
92,1,199.35,1279,1.42,0.26,4.0,1.54,27.39,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
93,1,200.89,1691,1.88,0.25,5.25,3.06,23.75,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
94,1,203.95,1564,1.74,0.26,4.81,1.25,27.54,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
95,1,205.2,1793,2.0,0.24,5.69,2.23,15.18,1.01,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
96,1,207.43,1387,1.54,0.26,4.32,1.15,27.15,0.9,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
97,1,208.58,1583,1.76,0.26,4.97,2.07,26.32,0.9,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
98,1,210.65,1821,2.03,0.25,5.73,2.68,19.7,1.05,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
99,1,213.33,1783,1.99,0.26,5.69,3.85,21.22,0.99,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
100,1,217.18,1579,1.76,0.26,5.01,2.0,22.98,0.98,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
101,1,219.18,1737,1.93,0.27,5.31,2.03,30.53,0.97,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
102,1,221.21,1737,1.93,0.27,5.3,1.42,28.77,0.96,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
103,1,222.63,1539,1.71,0.25,4.76,2.73,22.63,0.94,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
104,1,225.36,1552,1.73,0.25,4.82,1.71,25.12,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
105,1,227.07,1892,2.11,0.25,5.89,2.51,22.61,1.03,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
106,1,229.58,1568,1.75,0.25,4.87,2.2,22.71,0.95,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
107,1,231.78,1958,2.18,0.28,6.06,2.41,27.86,0.97,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
108,1,234.19,1982,2.21,0.25,6.35,2.85,14.59,1.16,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
109,1,237.04,1525,1.7,0.25,4.7,2.27,24.74,0.88,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
110,1,239.31,1906,2.12,0.27,5.93,3.08,25.83,1.1,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
111,1,242.39,1730,1.93,0.27,5.34,2.24,27.36,0.93,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
112,1,244.63,2078,2.31,0.27,6.21,2.81,28.52,1.03,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
113,1,247.44,1639,1.83,0.25,5.03,3.33,24.08,0.97,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
114,1,250.77,1576,1.76,0.26,4.96,1.59,27.11,0.91,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
115,1,252.36,1763,1.96,0.25,5.59,2.96,16.15,1.21,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
116,1,255.32,2597,2.89,0.31,7.41,2.53,30.03,1.07,2024-12-27,M06792,1,000110,N/A,N/A,N/A,N/A,N/A,N/A
