,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,Unnamed: 51,Control,Assay Tag,DIV,Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile
47,2024-12-27,M06792,6,89,WT_60K,#bdccff,25.11.2024,0,Run #000089,33,6,0.45,65.2,1747.0,596.9,0.34,1749.5,1081.6,2230.9,2.04,0.7,0.34,2.04,1.26,2.6,0.29,0.09,0.3,0.26,0.25,0.33,5.39,1.27,0.24,5.6,3.55,6.84,2.23,0.61,0.27,2.15,1.57,2.94,27.7,41.01,1.48,15.3,5.2,59.6,168.64,336.43,2.0,37.5,8.4,478.7
42,2024-12-27,M06792,1,89,HET_80K,#f7c19b,25.11.2024,0,Run #000089,33,1,0.31,70.37,2071.01,248.19,0.12,2115.0,1695.1,2372.2,2.45,0.29,0.12,2.5,2.0,2.81,0.26,0.01,0.05,0.26,0.25,0.27,6.83,0.79,0.12,6.92,5.64,7.8,3.2,1.11,0.35,2.85,2.17,4.8,22.17,25.26,1.14,13.3,4.7,50.8,242.98,467.84,1.93,68.4,9.5,670.64
43,2024-12-27,M06792,2,89,HET_80K,#f7c19b,25.11.2024,0,Run #000089,33,2,0.26,66.87,2755.4,877.81,0.32,2603.5,2228.2,3236.0,3.16,1.01,0.32,2.98,2.55,3.71,0.31,0.12,0.38,0.28,0.26,0.36,8.13,1.09,0.13,8.1,6.66,9.48,3.9,1.63,0.42,3.76,1.78,5.96,29.23,40.77,1.39,15.0,5.2,72.9,266.56,646.69,2.43,41.8,9.8,700.32
44,2024-12-27,M06792,3,89,WT_100K,#8cdee2,25.11.2024,0,Run #000089,33,3,0.09,33.74,1819.68,758.67,0.42,2130.5,499.0,2532.0,2.2,0.92,0.42,2.58,0.6,3.06,0.29,0.03,0.1,0.3,0.25,0.31,5.72,2.31,0.4,6.58,1.76,7.99,10.67,4.5,0.42,11.31,5.07,16.52,33.61,45.77,1.36,13.3,3.4,103.3,473.86,1160.5,2.45,104.8,22.7,1221.92
45,2024-12-27,M06792,4,89,WT_100K,#8cdee2,25.11.2024,0,Run #000089,33,4,0.25,42.27,1506.49,673.17,0.45,1373.0,733.0,2212.0,1.77,0.79,0.45,1.61,0.86,2.59,0.29,0.07,0.25,0.26,0.24,0.33,4.76,1.67,0.35,4.67,2.51,6.85,3.96,1.81,0.46,3.68,1.88,6.44,28.62,39.32,1.37,14.4,4.1,71.8,284.53,540.89,1.9,104.4,14.5,698.1
46,2024-12-27,M06792,5,89,WT_60K,#bdccff,25.11.2024,0,Run #000089,33,5,0.41,47.59,1686.14,1256.4,0.75,1488.0,957.0,1869.8,2.0,1.49,0.75,1.77,1.14,2.22,0.34,0.22,0.63,0.28,0.25,0.43,4.82,1.1,0.23,4.84,3.24,6.07,2.43,1.03,0.42,2.18,1.31,3.79,37.77,66.86,1.77,17.3,5.0,87.3,175.68,339.83,1.93,45.7,6.9,497.7
48,2024-12-27,M06792,1,106,HET_80K,#f7c19b,25.11.2024,0,Run #000106,33,1,0.39,72.9,1793.34,256.66,0.14,1808.0,1492.2,2085.0,1.99,0.28,0.14,2.0,1.65,2.31,0.26,0.01,0.05,0.25,0.25,0.27,5.54,0.78,0.14,5.59,4.61,6.45,2.55,0.74,0.29,2.49,1.62,3.57,22.56,25.5,1.13,13.4,4.8,52.0,204.79,358.91,1.75,68.4,8.8,560.9
50,2024-12-27,M06792,3,106,WT_100K,#8cdee2,25.11.2024,0,Run #000106,33,3,0.15,45.62,1669.59,441.75,0.26,1712.5,1310.8,2159.2,1.84,0.49,0.26,1.89,1.44,2.38,0.27,0.02,0.07,0.27,0.25,0.29,4.93,1.27,0.26,4.98,3.9,6.35,6.67,1.83,0.27,6.85,4.42,8.64,29.4,41.75,1.42,10.4,3.2,98.2,307.94,721.27,2.34,79.1,23.6,741.8
51,2024-12-27,M06792,4,106,WT_100K,#8cdee2,25.11.2024,0,Run #000106,33,4,0.28,47.63,1625.58,944.65,0.58,1482.0,956.2,2201.6,1.8,1.04,0.58,1.64,1.06,2.43,0.29,0.12,0.42,0.26,0.24,0.32,4.68,1.36,0.29,4.58,3.07,6.46,3.55,1.51,0.42,3.55,1.53,5.45,28.23,45.61,1.62,11.8,3.3,74.9,251.72,445.21,1.77,95.5,12.3,661.6
52,2024-12-27,M06792,5,106,WT_60K,#bdccff,25.11.2024,0,Run #000106,33,5,0.38,44.77,2223.98,2519.99,1.13,1591.0,1160.4,2956.2,2.41,2.74,1.13,1.73,1.26,3.21,0.4,0.4,1.01,0.28,0.25,0.59,4.99,1.1,0.22,4.9,3.64,6.54,2.62,1.19,0.45,2.49,1.26,4.06,43.8,87.7,2.0,17.6,4.6,102.6,166.79,328.6,1.97,48.6,7.7,459.0
49,2024-12-27,M06792,2,106,HET_80K,#f7c19b,25.11.2024,0,Run #000106,33,2,0.25,69.38,2489.23,516.49,0.21,2403.0,2098.6,3014.2,2.68,0.56,0.21,2.58,2.26,3.24,0.32,0.06,0.19,0.31,0.27,0.38,6.7,1.46,0.22,6.56,5.08,8.66,3.97,2.18,0.55,3.58,1.62,7.11,33.4,49.47,1.48,14.4,4.3,94.1,260.76,672.71,2.58,37.9,8.7,682.3
53,2024-12-27,M06792,6,106,WT_60K,#bdccff,25.11.2024,0,Run #000106,33,6,0.46,66.19,1641.75,437.23,0.27,1691.0,964.0,2169.0,1.83,0.49,0.27,1.89,1.07,2.42,0.28,0.04,0.14,0.26,0.25,0.31,5.0,1.28,0.26,5.15,3.03,6.54,2.16,0.67,0.31,1.99,1.5,3.22,24.71,31.65,1.28,13.4,4.5,59.8,175.27,318.99,1.82,41.1,8.3,526.8
54,2024-12-27,M06792,1,108,HET_80K,#f7c19b,25.11.2024,0,Run #000108,33,1,0.47,69.38,1630.26,253.38,0.16,1650.0,1304.3,1935.7,1.83,0.28,0.16,1.85,1.46,2.17,0.26,0.01,0.05,0.26,0.25,0.28,5.09,0.8,0.16,5.15,4.06,6.09,2.11,0.6,0.29,2.03,1.39,2.93,25.21,25.43,1.01,16.7,5.8,55.5,161.0,259.31,1.61,65.1,6.7,435.7
